galaxy,dcrra7_residual_map_zone,pc1,pc2,pc3
CamB,PATHOLOGY_ARCHIVE_ZONE,146.05625103052668,-24.377183343188772,-2.2571473609200674
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,158.31134245472413,-23.197290915158707,-2.758679540821239
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.89816860661566,-24.980756497754932,-3.383094871237741
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,158.85582901204154,-22.337590974608975,-1.00132388020001
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,159.216807056739,-22.532173687615966,-0.04711206831086478
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,158.61502398142127,-23.885808130454308,-2.2386572683489647
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.40145054349202,-22.06670287752527,-2.457478567072452
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,160.08155086453453,-24.999355835658978,-2.996361901948809
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,159.76628670444265,-24.26401356626303,-1.3999165033175063
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,158.8041340103206,-23.888644827688243,5.259925458721724
F563-1,NUISANCE_SENSITIVE_ZONE,159.21352998016303,-23.283261902597832,-3.241381557183911
F563-V2,NUISANCE_SENSITIVE_ZONE,160.23795104321994,-24.786816698240223,-3.372090528855432
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.12054371241658,-24.926962022885007,-3.2434095818808557
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,159.82347760690192,-24.839460768752286,-2.8996355662455593
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.69185308350401,-24.715550716187018,-3.3765138391060505
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,158.32251030325244,-24.474366488906927,-2.233217123689464
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,160.4320688807134,-24.64465405893639,-2.9258716217091174
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,161.200993629672,-24.7443310972007,-3.219812041576643
F583-1,RESPONSE_FAMILY_DOMINANT_ZONE,159.69425626380195,-24.928291865576863,-2.813631615581783
F583-4,PATHOLOGY_ARCHIVE_ZONE,-957.1437581272264,412.6761180662724,-2.258215618188138
IC2574,RESPONSE_FAMILY_DOMINANT_ZONE,157.8933592997633,-24.551856695110224,17.561245679213517
IC4202,RESPONSE_FAMILY_DOMINANT_ZONE,159.30669472446374,-23.975413307954714,9.204076292982464
KK98-251,RESPONSE_FAMILY_DOMINANT_ZONE,159.94438600298224,-23.243403649927707,-2.936546891236968
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,158.86052246044446,-24.167974745586015,-2.390466207672651
NGC0055,RESPONSE_FAMILY_DOMINANT_ZONE,160.0387817801352,-23.003252306965315,-2.4876101848857024
NGC0100,RESPONSE_FAMILY_DOMINANT_ZONE,159.569054168125,-24.69900266153172,-2.616630665059569
NGC0247,NUISANCE_SENSITIVE_ZONE,163.00961144212727,-24.620468551294216,7.138817195794145
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.19885381447966,-24.9898785319981,-2.610207940703336
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,159.49939147566957,-24.83403856902955,-0.6082661149966337
NGC0801,PATHOLOGY_ARCHIVE_ZONE,160.66305019861284,-24.924918790285634,-2.3991367161863866
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,159.87134161956482,-24.9044669753774,0.5180760874095551
NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,159.20709531240186,-23.927399993792317,16.263184221971798
NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,160.5069690056651,-24.26774689405153,-2.9414699106553748
NGC1705,NUISANCE_SENSITIVE_ZONE,159.67097064922777,-23.54779707417968,-3.159645735406037
NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,159.46181597010644,-22.812255455039733,-2.571040690668761
NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,160.1863096855598,-25.01126653752789,162.33956733019565
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.14255921691446,-24.70671440707997,-3.42065007046256
NGC2841,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.4245211196271,-24.159708394082223,-3.1841493385235107
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,159.7971233134379,-23.963246371303974,-3.1303441210043945
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,158.82402555963122,-24.90119256723851,-2.932903754033909
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,159.55870008018542,-23.930566788529323,-3.1456778182365452
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,161.45207490386233,-24.850061424406245,-2.9012262139474396
NGC2998,RESPONSE_FAMILY_DOMINANT_ZONE,160.74490857838248,-24.821142916436965,-0.9356372706042081
NGC3109,NUISANCE_SENSITIVE_ZONE,159.37618345306305,-22.39510200733746,2.1197355120256547
NGC3198,RESPONSE_FAMILY_DOMINANT_ZONE,159.1901832910735,-24.91319523807566,3.269788872767249
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,160.11835080429873,-23.968380407728727,0.07786836634555468
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,158.66538259135154,-24.650275232910094,-2.6958916226440945
NGC3741,NUISANCE_SENSITIVE_ZONE,158.974319948043,-22.28594916248002,0.7741756347402768
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.5671831316844,-24.58022484670867,-3.3450088548170984
NGC3877,PATHOLOGY_ARCHIVE_ZONE,159.12538183984714,-25.013802815304857,-1.6938187776428344
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.09911991530834,-24.27535316969183,-3.4051175705211145
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,159.69383556201,-24.629118484945682,-2.9997235463439047
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.59050512862038,-24.830697528934884,-3.415601629817084
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,160.71974753002442,-24.744401544873178,-2.847599473161023
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.39807346850174,-24.87188002981956,-3.4470243653067327
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,159.93177425925742,-24.50795311360722,-3.2341793613905456
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,159.40661476083977,-24.93292100388091,1.8772118494013386
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,159.09197677415006,-24.513299217191282,-3.4240347214907847
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,160.4175534946076,-23.96604757362774,-3.627947872682513
NGC4157,NUISANCE_SENSITIVE_ZONE,159.74173448687262,-24.912780175015907,-2.950852358173937
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.10654093231557,-24.392541557955187,-2.8265987572961575
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,159.30656627959442,-24.766703671957735,-2.1540452841869424
NGC4217,PATHOLOGY_ARCHIVE_ZONE,159.08384309810714,-24.998264772493368,-0.5166363538922862
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,160.06308176319826,-24.049991563188367,-2.4655888303696836
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,161.32106912080442,-24.08557944479456,-3.4266504406690586
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,159.65305354660214,-24.829367229716954,-3.271888071299169
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,159.90453388300793,-23.69961722990854,-1.0268463353137636
NGC5371,PATHOLOGY_ARCHIVE_ZONE,48.842873810633165,-29.639457700349535,-3.3496630254489026
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,159.55208936022163,-24.91560880487002,-0.7284894345978902
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,160.350082641509,-24.468477692728936,-2.0935570156349024
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,158.94722963882217,-23.843977612728956,-2.7990725157707534
