neighbor_kernel,available_count,median_delta_aic_locked_minus_kernel,locked_beats_kernel_fraction,kernel_beats_locked_fraction,abs_within_2_fraction,abs_within_10_fraction
saturating_n8,143,-19.086300783973343,0.8741258741258742,0.1258741258741259,0.13986013986013987,0.35664335664335667
saturating_n6,143,-12.300427064638747,0.8461538461538461,0.14685314685314685,0.16083916083916083,0.42657342657342656
saturating_n1,143,-7.104435537752817,0.6923076923076923,0.3006993006993007,0.11188811188811189,0.3776223776223776
exp_saturating,143,-4.840683269116889,0.6503496503496503,0.34265734265734266,0.13286713286713286,0.3986013986013986
arctan_saturating,143,-3.931456792810824,0.6293706293706294,0.36363636363636365,0.11888111888111888,0.3916083916083916
saturating_n4,143,-3.3011372910065244,0.7692307692307693,0.22377622377622378,0.2937062937062937,0.6993006993006993
saturating_n2,143,1.97381772489753,0.35664335664335667,0.6363636363636364,0.23776223776223776,0.6013986013986014
