proxy,proxy_bin,triangle_class,count,fraction_within_bin,median_est_family_minus_nfw,median_est_family_minus_rar,median_best_n,pathology_rate,nuisance_rate
v_max_kms,HIGH,THREE_WAY_COMPETITIVE,4,0.08333333333333333,0.005730690169162949,-2.692713972816458,3.5,0.0,0.0
gas_fraction_proxy,LOW,NFW_TRIANGLE_DOMINANT,3,0.0625,72.60862160832198,-3.1676446150593627,3.0,0.0,0.0
gas_fraction_proxy,LOW,NUISANCE_SENSITIVE,4,0.08333333333333333,-89.63996149185446,-467.723969848873,2.25,0.0,1.0
gas_fraction_proxy,LOW,PATHOLOGY_ARCHIVE,7,0.14583333333333334,-22.216620896981453,-122.95191860821912,12.0,1.0,0.14285714285714285
gas_fraction_proxy,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,26,0.5416666666666666,-42.749632618902865,-84.11603151258247,2.5,0.0,0.0
gas_fraction_proxy,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,5,0.10416666666666667,-4.339303425083575,-15.327266999178224,3.258993,0.0,0.0
gas_fraction_proxy,LOW,THREE_WAY_COMPETITIVE,3,0.0625,-0.0156204380063709,-2.407622908430909,2.75,0.0,0.0
gas_fraction_proxy,MID,NFW_TRIANGLE_DOMINANT,3,0.06382978723404255,13.503366819144404,-104.1562364919086,2.25,0.0,0.0
gas_fraction_proxy,MID,NUISANCE_SENSITIVE,6,0.1276595744680851,-11.69775805183519,-20.311171890842445,1.875,0.0,1.0
gas_fraction_proxy,MID,PATHOLOGY_ARCHIVE,3,0.06382978723404255,-6.381560069032898,-16.16108724369261,12.0,1.0,0.0
gas_fraction_proxy,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,13,0.2765957446808511,-32.18116120227826,-51.25756702362035,2.0,0.0,0.0
gas_fraction_proxy,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,10,0.2127659574468085,-3.260948977244282,-23.29550104096866,2.625,0.0,0.0
gas_fraction_proxy,MID,THREE_WAY_COMPETITIVE,11,0.23404255319148937,-4.638863550835865,-2.6522013880074518,2.5,0.0,0.0
gas_fraction_proxy,MID,UNRESOLVED_TRIANGULAR,1,0.02127659574468085,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
gas_fraction_proxy,HIGH,NUISANCE_SENSITIVE,20,0.4166666666666667,-10.466463236103394,-42.02702970095119,1.5,0.0,1.0
gas_fraction_proxy,HIGH,PATHOLOGY_ARCHIVE,2,0.041666666666666664,-17.028895274811173,-188.88762603440074,8.125,1.0,0.0
gas_fraction_proxy,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,15,0.3125,-30.311648908882816,-152.93466295982793,2.5,0.0,0.0
gas_fraction_proxy,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,8,0.16666666666666666,-3.2712171501309593,-109.26159503197655,2.25,0.0,0.0
gas_fraction_proxy,HIGH,THREE_WAY_COMPETITIVE,2,0.041666666666666664,-2.6689017884067243,2.021029495832325,2.375,0.0,0.0
gas_fraction_proxy,HIGH,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
outer_baryon_fraction_proxy,LOW,NUISANCE_SENSITIVE,20,0.4166666666666667,-13.576723602819113,-42.02702970095119,1.5,0.0,1.0
outer_baryon_fraction_proxy,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.3958333333333333,-33.461109446273866,-78.48313616415784,2.0,0.0,0.0
outer_baryon_fraction_proxy,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,3,0.0625,-4.333058386685952,-35.76947760786764,2.5,0.0,0.0
outer_baryon_fraction_proxy,LOW,THREE_WAY_COMPETITIVE,5,0.10416666666666667,-2.390127517542004,-2.099059285021374,2.5,0.0,0.0
outer_baryon_fraction_proxy,LOW,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
outer_baryon_fraction_proxy,MID,NFW_TRIANGLE_DOMINANT,3,0.06382978723404255,18.1340142828735,-52.08236443803299,3.0,0.0,0.0
outer_baryon_fraction_proxy,MID,NUISANCE_SENSITIVE,7,0.14893617021276595,-3.896593420763652,-91.71973413655462,2.0,0.0,1.0
outer_baryon_fraction_proxy,MID,PATHOLOGY_ARCHIVE,2,0.0425531914893617,-6.697745624882399,-59.628126478354744,6.625,1.0,0.0
outer_baryon_fraction_proxy,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,16,0.3404255319148936,-48.04907945685505,-121.9370933273115,2.375,0.0,0.0
outer_baryon_fraction_proxy,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,13,0.2765957446808511,-4.214373374098926,-29.66294092389072,2.0,0.0,0.0
outer_baryon_fraction_proxy,MID,THREE_WAY_COMPETITIVE,6,0.1276595744680851,-4.9840743996695664,-1.89002178179615,2.375,0.0,0.0
outer_baryon_fraction_proxy,HIGH,NFW_TRIANGLE_DOMINANT,3,0.0625,18.216362037891184,-104.1562364919086,3.0,0.0,0.0
outer_baryon_fraction_proxy,HIGH,NUISANCE_SENSITIVE,3,0.0625,-4.966602913991842,-7.649058184769352,2.75,0.0,1.0
outer_baryon_fraction_proxy,HIGH,PATHOLOGY_ARCHIVE,10,0.20833333333333334,-15.850891074860778,-111.16862912442582,12.0,1.0,0.1
outer_baryon_fraction_proxy,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.3958333333333333,-33.201477752282884,-51.85770152374394,2.5,0.0,0.0
outer_baryon_fraction_proxy,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.14583333333333334,-1.150286080068252,-26.464780202050548,4.0,0.0,0.0
outer_baryon_fraction_proxy,HIGH,THREE_WAY_COMPETITIVE,5,0.10416666666666667,-2.1843017469927624,-2.4107666575995443,3.0,0.0,0.0
outer_baryon_fraction_proxy,HIGH,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
rrf_rc_over_rlast,LOW,NFW_TRIANGLE_DOMINANT,2,0.041666666666666664,42.92011985364102,-137.12919838534683,3.5044965,0.0,0.0
rrf_rc_over_rlast,LOW,NUISANCE_SENSITIVE,11,0.22916666666666666,-12.855631168087246,-142.1519895483693,2.25,0.0,1.0
rrf_rc_over_rlast,LOW,PATHOLOGY_ARCHIVE,2,0.041666666666666664,-53.317379454104426,-75.26722797708575,12.0,1.0,0.0
rrf_rc_over_rlast,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,15,0.3125,-48.18526202555267,-303.6719632213908,2.5,0.0,0.0
rrf_rc_over_rlast,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,15,0.3125,-2.90871279598332,-27.47802855530763,2.5,0.0,0.0
rrf_rc_over_rlast,LOW,THREE_WAY_COMPETITIVE,3,0.0625,-2.395223145882034,-2.6522013880074518,3.0,0.0,0.0
rrf_rc_over_rlast,MID,NFW_TRIANGLE_DOMINANT,2,0.0425531914893617,46.681055253274856,26.438309025782424,3.0,0.0,0.0
rrf_rc_over_rlast,MID,NUISANCE_SENSITIVE,13,0.2765957446808511,-9.086860482805598,-44.239288054834425,1.75,0.0,1.0
rrf_rc_over_rlast,MID,PATHOLOGY_ARCHIVE,2,0.0425531914893617,-15.850891074860778,-65.93795577259796,12.0,1.0,0.5
rrf_rc_over_rlast,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,20,0.425531914893617,-33.4309173521602,-60.06157436316855,2.5,0.0,0.0
rrf_rc_over_rlast,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,4,0.0851063829787234,-4.273715880392439,-342.56517862859357,2.25,0.0,0.0
rrf_rc_over_rlast,MID,THREE_WAY_COMPETITIVE,6,0.1276595744680851,-3.859706383022636,-3.8376018453337815,2.375,0.0,0.0
rrf_rc_over_rlast,HIGH,NFW_TRIANGLE_DOMINANT,2,0.041666666666666664,15.818690551008952,-78.11930046497079,1.75,0.0,0.0
rrf_rc_over_rlast,HIGH,NUISANCE_SENSITIVE,6,0.125,-9.632209475771411,-21.997904709110507,1.5,0.0,1.0
rrf_rc_over_rlast,HIGH,PATHOLOGY_ARCHIVE,8,0.16666666666666666,-5.936543731934849,-211.71793565699474,12.0,1.0,0.0
rrf_rc_over_rlast,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.3958333333333333,-40.54189779263508,-73.56336245901721,1.5,0.0,0.0
rrf_rc_over_rlast,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,4,0.08333333333333333,-2.2576583254166502,-19.18988651637561,2.0,0.0,0.0
rrf_rc_over_rlast,HIGH,THREE_WAY_COMPETITIVE,7,0.14583333333333334,-2.9693757092042548,0.0996204990018136,2.25,0.0,0.0
rrf_rc_over_rlast,HIGH,UNRESOLVED_TRIANGULAR,2,0.041666666666666664,-17.310606106187702,-6.246871855317678,3.25,0.0,0.0
rrf_A_over_vouter2,LOW,NFW_TRIANGLE_DOMINANT,3,0.0625,18.1340142828735,-52.08236443803299,2.25,0.0,0.0
rrf_A_over_vouter2,LOW,NUISANCE_SENSITIVE,11,0.22916666666666666,-2.4986739856188223,-23.510736019745327,1.75,0.0,1.0
rrf_A_over_vouter2,LOW,PATHOLOGY_ARCHIVE,1,0.020833333333333332,-2.015899527890115,-398.1194384993806,12.0,1.0,0.0
rrf_A_over_vouter2,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,15,0.3125,-30.311648908882816,-48.22978766745116,1.75,0.0,0.0
rrf_A_over_vouter2,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,13,0.2708333333333333,-2.3280609261629923,-33.34080135396548,2.5,0.0,0.0
rrf_A_over_vouter2,LOW,THREE_WAY_COMPETITIVE,5,0.10416666666666667,-4.638863550835865,-2.407622908430909,2.25,0.0,0.0
rrf_A_over_vouter2,MID,NFW_TRIANGLE_DOMINANT,2,0.0425531914893617,42.92011985364102,-137.12919838534683,3.5044965,0.0,0.0
rrf_A_over_vouter2,MID,NUISANCE_SENSITIVE,9,0.19148936170212766,-14.29781603755098,-71.42095534943749,1.5,0.0,1.0
rrf_A_over_vouter2,MID,PATHOLOGY_ARCHIVE,2,0.0425531914893617,-15.850891074860778,-65.93795577259796,12.0,1.0,0.5
rrf_A_over_vouter2,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.40425531914893614,-41.27237240114939,-72.91735481374951,2.5,0.0,0.0
rrf_A_over_vouter2,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,6,0.1276595744680851,-2.9192431012809115,-23.8021252175972,3.375,0.0,0.0
rrf_A_over_vouter2,MID,THREE_WAY_COMPETITIVE,8,0.1702127659574468,-2.4857821173581245,-2.6498275832379927,2.625,0.0,0.0
rrf_A_over_vouter2,MID,UNRESOLVED_TRIANGULAR,1,0.02127659574468085,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
rrf_A_over_vouter2,HIGH,NFW_TRIANGLE_DOMINANT,1,0.020833333333333332,75.14574846865852,56.044262666624206,3.0,0.0,0.0
rrf_A_over_vouter2,HIGH,NUISANCE_SENSITIVE,10,0.20833333333333334,-20.78732006777272,-42.02702970095119,2.0,0.0,1.0
rrf_A_over_vouter2,HIGH,PATHOLOGY_ARCHIVE,9,0.1875,-7.013931180731902,-99.38533964063252,12.0,1.0,0.0
rrf_A_over_vouter2,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,20,0.4166666666666667,-44.22739734039625,-213.27337442145716,2.375,0.0,0.0
rrf_A_over_vouter2,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,4,0.08333333333333333,-6.885331888993067,-16.277862983732522,1.5,0.0,0.0
rrf_A_over_vouter2,HIGH,THREE_WAY_COMPETITIVE,3,0.0625,-2.368427867609194,-1.1325897851237663,2.25,0.0,0.0
rrf_A_over_vouter2,HIGH,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
best_n,LOW,NFW_TRIANGLE_DOMINANT,1,0.01639344262295082,18.1340142828735,-52.08236443803299,1.25,0.0,0.0
best_n,LOW,NUISANCE_SENSITIVE,21,0.3442622950819672,-11.84606598940119,-58.65216688672729,1.5,0.0,1.0
best_n,LOW,PATHOLOGY_ARCHIVE,2,0.03278688524590164,-85.76271009271878,-154.58310822535026,0.875,1.0,0.0
best_n,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,24,0.39344262295081966,-40.90713509689223,-74.08712616162688,1.5,0.0,0.0
best_n,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,8,0.13114754098360656,-4.336180905884763,-109.26159503197655,1.625,0.0,0.0
best_n,LOW,THREE_WAY_COMPETITIVE,4,0.06557377049180328,-3.902882962699562,-2.2533410967261416,1.625,0.0,0.0
best_n,LOW,UNRESOLVED_TRIANGULAR,1,0.01639344262295082,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
best_n,MID,NFW_TRIANGLE_DOMINANT,1,0.02564102564102564,13.503366819144404,-104.1562364919086,2.25,0.0,0.0
best_n,MID,NUISANCE_SENSITIVE,7,0.1794871794871795,-4.173447969823828,-10.290310840523953,2.25,0.0,1.0
best_n,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,16,0.41025641025641024,-33.331293599278375,-52.9928301196045,2.5,0.0,0.0
best_n,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.1794871794871795,-2.90871279598332,-26.464780202050548,2.5,0.0,0.0
best_n,MID,THREE_WAY_COMPETITIVE,8,0.20512820512820512,-3.8041196300200597,-1.2739166397333601,2.5,0.0,0.0
best_n,HIGH,NFW_TRIANGLE_DOMINANT,4,0.09302325581395349,45.412491823106585,-55.04403477235249,3.1294965,0.0,0.0
best_n,HIGH,NUISANCE_SENSITIVE,2,0.046511627906976744,-309.5704817252931,-342.15180795843764,6.5,0.0,1.0
best_n,HIGH,PATHOLOGY_ARCHIVE,10,0.23255813953488372,-8.249546216736002,-108.07414677531588,12.0,1.0,0.1
best_n,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,14,0.32558139534883723,-49.42746456333424,-198.69430872967303,4.375,0.0,0.0
best_n,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,8,0.18604651162790697,-1.1228252068457376,-17.189580435725826,4.5,0.0,0.0
best_n,HIGH,THREE_WAY_COMPETITIVE,4,0.09302325581395349,-1.2054217919442025,-2.695087777585917,4.0,0.0,0.0
best_n,HIGH,UNRESOLVED_TRIANGULAR,1,0.023255813953488372,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
n_points,LOW,NUISANCE_SENSITIVE,12,0.25,-10.466463236103394,-35.50224492491925,1.625,0.0,1.0
n_points,LOW,PATHOLOGY_ARCHIVE,6,0.125,-7.9333606608865,-33.02049076743978,12.0,1.0,0.16666666666666666
n_points,LOW,SN_RRF_FAMILY_TRIANGLE_DOMINANT,5,0.10416666666666667,-19.89496369732969,-53.28120961106248,2.75,0.0,0.0
n_points,LOW,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,12,0.25,-4.273715880392439,-19.60775838963358,2.625,0.0,0.0
n_points,LOW,THREE_WAY_COMPETITIVE,12,0.25,-3.6076023198350398,-2.531484022803498,2.25,0.0,0.0
n_points,LOW,UNRESOLVED_TRIANGULAR,1,0.020833333333333332,-11.15399236816166,-9.545342188770384,4.5,0.0,0.0
n_points,MID,NFW_TRIANGLE_DOMINANT,3,0.061224489795918366,13.503366819144404,-104.1562364919086,3.0,0.0,0.0
n_points,MID,NUISANCE_SENSITIVE,11,0.22448979591836735,-4.966602913991842,-10.518514488613764,1.5,0.0,1.0
n_points,MID,PATHOLOGY_ARCHIVE,5,0.10204081632653061,-7.013931180731902,-116.76295390999924,12.0,1.0,0.0
n_points,MID,SN_RRF_FAMILY_TRIANGLE_DOMINANT,19,0.3877551020408163,-33.201477752282884,-71.6609347269713,2.5,0.0,0.0
n_points,MID,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,7,0.14285714285714285,-1.150286080068252,-51.16669268964412,2.25,0.0,0.0
n_points,MID,THREE_WAY_COMPETITIVE,4,0.08163265306122448,-0.7401684272217871,1.9930105034598047,2.625,0.0,0.0
n_points,HIGH,NFW_TRIANGLE_DOMINANT,3,0.06521739130434782,72.60862160832198,-52.08236443803299,3.0,0.0,0.0
n_points,HIGH,NUISANCE_SENSITIVE,7,0.15217391304347827,-83.64643289335555,-145.7062054655939,2.0,0.0,1.0
n_points,HIGH,PATHOLOGY_ARCHIVE,1,0.021739130434782608,-165.14386011640465,-306.67291740399025,0.5,1.0,0.0
n_points,HIGH,SN_RRF_FAMILY_TRIANGLE_DOMINANT,30,0.6521739130434783,-42.749632618902865,-135.8209012733443,2.0,0.0,0.0
n_points,HIGH,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,4,0.08695652173913043,-3.624008110533447,-23.29550104096866,2.25,0.0,0.0
n_points,HIGH,UNRESOLVED_TRIANGULAR,1,0.021739130434782608,-23.467219844213744,-2.9484015218649717,2.0,0.0,0.0
