dcrra7_residual_map_zone,galaxy_count,median_best_n,median_rrf_rc_over_rlast,median_rrf_A_over_vouter2,median_v_outer_kms,median_gas_fraction_proxy,median_outer_baryon_fraction_proxy,median_family_delta_aic_minus_nfw,median_family_delta_aic_minus_rar,proxy_supported_fraction
HALO_COMPARATOR_DOMINANT_ZONE,6,3.0,0.3653418425220011,0.6746504457071028,172.0,0.0440716793611936,0.4710506489175,18.17518816038234,-78.11930046497079,0.6666666666666666
MIXED_THREE_WAY_COMPETITIVE_ZONE,16,2.5,0.3648947243047549,0.7242594940484784,111.00223209837264,0.084454843773847,0.3703012451456368,-2.4857821173581245,-2.4091947830152267,0.3125
NUISANCE_SENSITIVE_ZONE,30,1.625,0.2745083465827024,0.7594049554495623,84.25,0.2489664252245936,0.2361124753333024,-10.466463236103394,-42.02702970095119,0.7
PATHOLOGY_ARCHIVE_ZONE,12,12.0,0.9433666200151438,2.197586136460498,174.25036656812685,0.0263300468599753,1.0226136808165698,-8.249546216736002,-108.07414677531588,0.25
RESPONSE_FAMILY_DOMINANT_ZONE,54,2.25,0.33351514925701,0.7804864422483493,111.25509026325084,0.0424778872935055,0.3636308478331794,-38.42337978588883,-78.45904414085629,0.1111111111111111
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,23,2.5,0.1891341960815337,0.6790746966138612,110.5011312159292,0.0851627896794965,0.3932738768861455,-3.6131851585052432,-27.47802855530763,0.2608695652173913
UNRESOLVED_TRIANGULAR_ZONE,2,3.25,0.5207869356217485,0.79870933178665,89.5,0.1288756674175819,0.4406595690880281,-17.310606106187702,-6.246871855317678,0.0
