galaxy,stage8_class,n_points,delta_aic_tvc_minus_baryonic_fit,delta_aic_tvc_minus_nfw_like,delta_aic_tvc_minus_rar_like,broad_free_dAIC_tvc_minus_baryonic_fit,broad_free_dAIC_tvc_minus_nfw_like,broad_free_dAIC_tvc_minus_rar_like,broad_free_tvc_boundary,broad_free_tvc_core_boundary,broad_free_tvc_nuisance_boundary,rrf_rc_over_rlast,rrf_A_over_vouter2,v_outer_kms,v_max_kms,gas_fraction_proxy,outer_baryon_fraction_proxy,best_n,delta_aic_locked_minus_best_continuum,locked_within_2_of_best,locked_within_10_of_best,grid_count_within_10_of_best,dcrra2_taxonomy_class,dcrra2_confidence,dcrra2_rationale,dcrra3_recommended_class,dcrra3_class_stability,pathology_guard,nuisance_guard,rrf_beats_baryonic_guard,rrf_beats_rar_guard,rrf_competes_nfw_guard,nfw_dominant_guard,rar_dominant_guard,central_best_n_guard,scale_band_guard
F563-1,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,17,-329.6029712021133,-12.70783489700639,-9.042651433839591,-329.6029712021133,-12.70783489700639,-9.042651433839591,1,0,1,0.1401376038793744,0.848415454663316,111.5,112.5,0.4291438467246827,0.1338615294898349,3.75,0.1477962710808569,1,1,37,NUISANCE_SENSITIVE,MEDIUM,nuisance-sensitive parent class or nuisance boundary; parent_stage8=NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,NUISANCE_SENSITIVE,STABLE,0,1,1,0,1,0,0,1,1
F563-V2,NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,10,-84.85795602994708,-5.593575705851146,0.963292720325903,-84.85795602994708,-5.593575705851146,0.963292720325903,1,0,1,0.204028245524642,0.656131248776451,118.0,118.0,0.0826615559827784,0.2167593363975869,2.75,0.2313908043238122,1,1,38,NUISANCE_SENSITIVE,MEDIUM,nuisance-sensitive parent class or nuisance boundary; parent_stage8=NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,NUISANCE_SENSITIVE,STABLE,0,1,1,0,1,0,0,1,1
F568-1,ROBUST-DIAGNOSTIC-CANDIDATE,12,-183.07440822396427,-7.879665261902723,-4.115244277346735,-183.07440822396427,-7.879665261902723,-4.115244277346735,0,0,0,0.2422094347320097,0.6810086588426209,133.0,142.0,0.0641954520350811,0.2247057097631296,2.5,0.9125056348522946,1,1,28,MIXED_COMPETITIVE,MEDIUM,continuum-family fit is competitive but comparator dominance is not clean; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,MIXED_COMPETITIVE,STABLE,0,0,1,0,1,0,0,1,1
F568-3,ROBUST-DIAGNOSTIC-CANDIDATE,18,-79.30449086807582,-48.18289486760406,-38.16241299537347,-79.30449086807582,-48.18289486760406,-38.16241299537347,0,0,0,0.217139396070658,0.7400438971856966,107.0,120.0,0.0279303255585602,0.3352873613416019,3.25,0.0023671579486057,1,1,15,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
F568-V1,ROBUST-DIAGNOSTIC-CANDIDATE,15,-233.6350277928049,-1.113957181460446,0.8365215670645316,-233.6350277928049,-1.113957181460446,0.8365215670645316,0,0,0,0.1526612881500541,0.765461295372624,112.0044641967453,118.0,0.0681158740197896,0.2032920127540853,2.5,0.3507592349767572,1,1,40,MIXED_COMPETITIVE,MEDIUM,continuum-family fit is competitive but comparator dominance is not clean; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,MIXED_COMPETITIVE,STABLE,0,0,1,0,1,0,0,1,1
F571-8,ROBUST-DIAGNOSTIC-CANDIDATE,13,-1571.6585206254736,-10.65187153380636,-517.6022814833133,-1571.6585206254736,-10.65187153380636,-517.6022814833133,0,0,0,0.3343232456977319,1.0385375820375815,137.5227253947507,144.0,0.0083012805474973,0.2400174091209516,4.75,8.740119002516437,0,1,17,MIXED_COMPETITIVE,MEDIUM,continuum-family fit is competitive but comparator dominance is not clean; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,0,1
F574-1,ROBUST-DIAGNOSTIC-CANDIDATE,14,-240.6771182381008,-17.440328269342864,-22.92948030788608,-240.6771182381008,-17.440328269342864,-22.92948030788608,0,0,0,0.2491003292902196,0.6156857941285421,99.15061774895808,99.7,0.0550001193570023,0.3306187667489417,2.25,2.575736783049547,0,1,14,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
F579-V1,ROBUST-DIAGNOSTIC-CANDIDATE,14,-29.551269964924217,-1.7778712637182164,-27.82762702910369,-29.551269964924217,-1.7778712637182164,-27.82762702910369,0,0,0,0.0462109686454746,0.4622064237773888,114.0,114.0,0.0399889921165492,0.4489963450292398,2.0,1.835313894787027,1,1,40,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,UNRESOLVED_OR_WEAK,WEAK-MISMATCH,0,0,1,1,1,0,0,1,0
F583-1,ROBUST-DIAGNOSTIC-CANDIDATE,25,-515.0026910103533,-30.17239029678816,-38.53260339587503,-515.0026910103533,-30.17239029678816,-38.53260339587503,0,0,0,0.2009590242049004,0.7669085764891291,80.3,86.9,0.0,0.1775511352974292,2.5,3.288719149485709,0,1,11,SN_RRF_FAMILY_LIKE,MEDIUM-HIGH,RRF improves over baryonic/RAR and is competitive with NFW; continuum best-n in central family range; parent_stage8=ROBUST-DIAGNOSTIC-CANDIDATE,SN_RRF_FAMILY_LIKE,STABLE,0,0,1,1,1,0,0,1,1
F583-4,CORE-PATHOLOGY-ARCHIVE,12,-19.272613527848904,0.0054670359712201,3.893728058293864,-19.272613527848904,0.0054670359712201,3.893728058293864,1,1,0,6.857453079640037,221.4420061631733,67.2,69.9,0.0593960362422287,0.3577840003188776,1.25,6.387027105004118,0,1,19,PATHOLOGY_ARCHIVE,HIGH,core/pathology flag or extreme scale/amplitude; parent_stage8=CORE-PATHOLOGY-ARCHIVE,PATHOLOGY_ARCHIVE,STABLE,1,0,1,0,1,0,0,1,0
