constructive_control,metric,observed_value,null_median,null_q95,permutation_p_ge_observed,constructive_signal_flag
proxy_only_leave_one_out_nearest_centroid_fixed_prediction_null,accuracy,0.3146853146853147,0.13286713286713286,0.17482517482517482,0.000999000999000999,1
proxy_only_leave_one_out_nearest_centroid_fixed_prediction_null,balanced_accuracy,0.3287353347135956,0.13711611456176673,0.23365338164251206,0.001998001998001998,1
