galaxy,dcrra4_triangle_class,proxy_centroid_predicted_class,correct,nearest_centroid_margin
NGC0024,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0,0.5475610908688586
NGC0055,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,1.219612383542674
NGC0100,SN_RRF_FAMILY_TRIANGLE_DOMINANT,UNRESOLVED_TRIANGULAR,0,0.1999013591233445
NGC0247,NUISANCE_SENSITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.1607890158267562
NGC0289,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_FAMILY_TRIANGLE_DOMINANT,0,0.03927550571145044
NGC0300,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,1,0.1213977327287763
NGC0801,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.025459220285705797
NGC0891,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.06597651767271184
NGC1003,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,0.6928788146850393
NGC1090,NFW_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,1,0.4356404560548195
NGC1705,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,0.9002093857194586
NGC2366,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,1.3529799434075995
NGC2403,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.09403992000531414
NGC2683,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,1,0.1806096092755307
NGC2841,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.5374213383121718
NGC2903,NFW_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,1,0.6455275186008813
NGC2915,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NUISANCE_SENSITIVE,0,0.10017849697899983
NGC2955,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.6673482553843986
NGC2976,SN_RRF_FAMILY_TRIANGLE_DOMINANT,THREE_WAY_COMPETITIVE,0,0.05115365213992362
NGC2998,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.0931059095553084
NGC3109,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.6122579422990553
NGC3198,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,1,0.08984271250781273
NGC3521,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.6285927270121938
NGC3726,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,THREE_WAY_COMPETITIVE,0,0.2519309257406852
NGC3741,NUISANCE_SENSITIVE,NUISANCE_SENSITIVE,1,1.6902215394522973
NGC3769,THREE_WAY_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.2742812447190732
NGC3877,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.016248538333792695
NGC3893,THREE_WAY_COMPETITIVE,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.44401299959654517
NGC3917,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.2407539174483142
NGC3953,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.09025365127505669
NGC3972,THREE_WAY_COMPETITIVE,THREE_WAY_COMPETITIVE,1,0.1408644758345723
NGC3992,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.06710951892370698
NGC4010,UNRESOLVED_TRIANGULAR,THREE_WAY_COMPETITIVE,0,0.3024943591739495
NGC4013,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.06399013074308302
NGC4088,THREE_WAY_COMPETITIVE,UNRESOLVED_TRIANGULAR,0,0.31831797343006984
NGC4100,NFW_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,1,0.6208151384943608
NGC4157,NUISANCE_SENSITIVE,THREE_WAY_COMPETITIVE,0,0.06310855603039878
NGC4183,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NUISANCE_SENSITIVE,0,0.3752996202626
NGC4214,SN_RRF_FAMILY_TRIANGLE_DOMINANT,THREE_WAY_COMPETITIVE,0,0.16744497244136802
NGC4217,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.03003550429445312
NGC4559,SN_RRF_FAMILY_TRIANGLE_DOMINANT,SN_RRF_FAMILY_TRIANGLE_DOMINANT,1,0.5813896541594039
NGC5005,THREE_WAY_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.5162921188609007
NGC5033,NFW_TRIANGLE_DOMINANT,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,0,0.12020979121641107
NGC5055,SN_RRF_FAMILY_TRIANGLE_DOMINANT,NFW_TRIANGLE_DOMINANT,0,0.8045267646820513
NGC5371,PATHOLOGY_ARCHIVE,UNRESOLVED_TRIANGULAR,0,0.27340052051866337
NGC5585,SN_RRF_FAMILY_TRIANGLE_DOMINANT,UNRESOLVED_TRIANGULAR,0,0.0714768551072853
NGC5907,SN_RRF_RAR_ADVANTAGE_NFW_COMPETITIVE,NFW_TRIANGLE_DOMINANT,0,0.3177407715905134
