galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,LOW,0.1,HALO_LIKE,False,0.0,0.05073726294634119,0.028107155743364195,0.02980849322815957,0.04903676518136542,0.9944863581474888,0.034520689483803824,0.9743011531624391,0.985846257920897,0.984982998214609,0.9751734383270674,0.07425390126122045,0.9825880675624938
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.3247348838558914,0.26365843816654055,0.2571431708004388,0.21213667284027304,0.9870788575551679,0.29508192026427454,0.8217451649654585,0.8581034680232096,0.8618914254124826,0.8876166555218119,0.11367120323473431,0.8395939969626542
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.411693583660695,0.37375645577348704,0.37027989917663595,0.35696709479842176,0.9999536128076134,0.3919770131678964,0.767011353461802,0.7913555106439286,0.793549053822991,0.8018933253254941,0.00681081437030861,0.7797582874404759
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,LOW,0.1,RAR_LIKE,False,0.0,0.08603187088468518,0.028929484952030477,0.024710203870361415,0.030658920437839035,0.9901964356065899,0.05613887851103591,0.9560168037829226,0.9854291019895698,0.9875676159785914,0.9845512071813032,0.09901295063480409,0.9715251522677961
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.2622494908433026,0.187117300422936,0.1783872783976282,0.14273082702286857,0.9869083709529574,0.22650336180384165,0.8589240415523933,0.9016000774052009,0.9064285529496364,0.9258883156067647,0.1144186569010598,0.8794865764729775
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.6399306846806931,0.5026841116787574,0.48114606424491985,0.40354400010295177,0.8692287353284522,0.5837760142710899,0.6000577599859092,0.7052062735974792,0.7203151641851504,0.7723056389131497,0.3616230975360227,0.6451542340626079
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,LOW,0.1,RAR_LIKE,True,0.0,0.11118582687334426,0.04354409294319794,0.03742233997050651,0.04620331479626227,0.9901010506749741,0.07725394048263,0.9427694167327747,0.9779856374491408,0.9811104219350103,0.9766251508146502,0.0994934637301661,0.9605967205426896
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.37902649085620665,0.2791053599223078,0.26570438269746444,0.21290476229157926,0.9513403071013,0.33445294447424945,0.7880187238535601,0.8490551454868478,0.8569105071724442,0.8871838804376582,0.22058942154758887,0.8158106738243563
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.608974329428035,0.5272236102017964,0.5152614316243374,0.44234160095561703,0.9121348342753379,0.5735688181425351,0.625320454304803,0.6875873688471913,0.6962316915909981,0.7467652904657412,0.2964205892387742,0.6530169843560464
CamB,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,LOW,0.1,NUISANCE_GRADIENT,True,0.0,0.1960337361146532,0.09358609915539277,0.08126256133222254,0.036148817191605676,0.9492157166361287,0.14892046215861726,0.8966416585712191,0.9520577192820859,0.9585079231116338,0.9817592285323292,0.22535368504613196,0.9225397215520763
