galaxy,zone,rotmod_points,Rlast_kpc,median_abs_residual_norm,max_abs_residual_norm,roughness_rms_diff,median_err_fraction,negative_vbar2_proxy_fraction,negative_residual_v2_fraction,kernel_curve_corr,kernel_curve_rmse,failure_boundary_candidate_score
UGC02455,PATHOLOGY_ARCHIVE_ZONE,8,4.03,1.3629426942023897,1.9182229102606387,0.0863562049058203,0.10169882972952027,0.0,1.0,0.49596899590771215,1.3496660371860125,3.765734265734266
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,5.52,0.2596816196478634,0.5674851904148331,0.05722275911969996,0.0989329268292683,0.0,0.7727272727272727,-0.16984892186111247,0.32544173425262857,3.6083916083916083
UGC11557,PATHOLOGY_ARCHIVE_ZONE,12,10.56,0.3719224727268359,0.5682545475297962,0.037079432375655065,0.1222134820747521,0.0,1.0,0.06543201051495129,1.0082220707851262,3.5279720279720284
CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,0.43815759637188206,0.569029549319728,0.046360142634133183,0.13761467889908258,0.0,0.8888888888888888,0.8141726771696011,0.3480686685176077,3.475524475524475
UGC07577,PATHOLOGY_ARCHIVE_ZONE,9,1.69,0.1407922946085994,0.3669502788655514,0.030510949625459038,0.29626168224299065,0.0,0.6666666666666666,0.6690945878402165,0.1524838521891346,3.2832167832167833
NGC4217,PATHOLOGY_ARCHIVE_ZONE,19,16.72,0.3108297531877287,1.6690992583007194,0.09595156825910602,0.03682795698924731,0.0,0.631578947368421,0.3544382622173678,1.394947210552398,3.174825174825175
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,21.48,0.4688188331452414,1.3243597859170344,0.07403958187814975,0.040605704204645696,0.0,0.8333333333333334,0.8320041456173732,0.7825331186488359,3.0944055944055946
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,18,11.47,0.4594369975080098,0.6412547867568528,0.03940676434412552,0.08412164093767868,0.0,1.0,0.9532096881827654,0.5159197035076684,3.0244755244755246
NGC2955,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,24,35.43,0.26342880327806073,0.6970993895760732,0.06060638190304181,0.033064699792960665,0.0,0.75,0.7261346935908094,0.7826359156894421,2.9860139860139863
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,36,41.93,0.2025007575962371,0.4365262975778546,0.0531236679581387,0.03187634513793779,0.0,0.8055555555555556,0.4174241171268293,0.6821903369096732,2.986013986013986
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,46,7.87,0.05799098874104401,0.3823280000000001,0.0333979158656717,0.08934255649676115,0.0,0.5652173913043478,0.8540038223095372,0.12247121758301259,2.972027972027972
NGC3521,RESPONSE_FAMILY_DOMINANT_ZONE,41,17.74,0.5418071859410429,0.7380074376417233,0.04376210956001934,0.05095238095238095,0.0,0.9024390243902439,0.9152779297487426,0.5186016426118866,2.9580419580419584
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,12,37.16,0.5047798800632001,0.785613149956909,0.06491183763014134,0.06131665299425759,0.0,0.25,0.9199414096679832,0.3281023977313657,2.9230769230769234
UGC02916,NUISANCE_SENSITIVE_ZONE,43,38.0,0.2700594058956916,0.8278914285714283,0.07108458819556837,0.024251207729468597,0.0,0.5348837209302325,0.3475951282809915,0.9607575131847249,2.881118881118881
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,30,29.23,0.7195752967884091,2.396684940909395,0.07522907457260798,0.054174310056663,0.0,0.6333333333333333,0.9699759550525515,0.5315761216582459,2.86013986013986
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,18,17.11,0.4164040562842935,1.836627473422496,0.11591064790844488,0.01611587389380531,0.0,0.8333333333333334,0.7734396601638602,1.2185784942317097,2.8496503496503496
NGC3877,PATHOLOGY_ARCHIVE_ZONE,13,11.35,0.28760911921019594,0.42379136581758114,0.03452810356102004,0.033529411764705884,0.0,0.8461538461538461,-0.006807052368493754,0.998920024473392,2.8461538461538463
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,34.62,0.503136765868887,0.5804009864724242,0.06409211047964006,0.05917159763313609,0.0,0.18181818181818182,0.9263572347963724,0.43070049590059767,2.807692307692308
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,27.96,0.2971738808201624,0.6360612131567708,0.03966835490468909,0.044272949272949266,0.0,0.5,0.7926685074546512,0.7106520006665121,2.804195804195804
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,27,2.27,0.03134722476591649,0.18218932430576226,0.02238676273718552,0.06225680933852141,0.0,0.8888888888888888,0.3795555131030545,0.19573266733690958,2.797202797202797
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,36.54,0.7124798095956264,0.8525364784616835,0.05697956184669709,0.10388349514563106,0.0,0.09090909090909091,0.9557212399898776,0.04946730543057683,2.7727272727272725
UGC06973,PATHOLOGY_ARCHIVE_ZONE,9,7.85,0.5942291566721373,3.116750795354122,0.10797598473874247,0.028070175438596492,0.0,0.8888888888888888,0.9554183884431979,2.010953817968755,2.7482517482517483
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,23,36.43,0.36625986521641807,0.534760253510472,0.038110289777181776,0.025951417004048582,0.0,0.8695652173913043,0.7267077949570226,0.637796506192402,2.7062937062937062
NGC2915,RESPONSE_FAMILY_DOMINANT_ZONE,30,10.04,0.8277078055808192,0.9773480880314523,0.06620220697343591,0.09578776887137462,0.0,0.1,0.973279459419427,0.15323845669425876,2.7027972027972025
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,48,40.04,0.1714281556232018,0.7080234018598058,0.04845375722027555,0.030856064657990137,0.0,0.2916666666666667,0.6093581797718496,0.4173275753059208,2.692307692307692
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,58,20.4,0.28167066375580835,1.264041439673129,0.04426166450738459,0.029548819789216967,0.0,0.5517241379310345,0.7362759407865854,0.6690552696802001,2.6853146853146854
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,28,71.12,0.6128676005225722,0.7698027507620845,0.08651101111862779,0.04080653230417382,0.0,0.25,0.9449146753374899,0.4801951622306705,2.6573426573426575
F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,0.6366917492811036,0.8812060166100263,0.049878702734019294,0.1268976897689769,0.0,0.0,0.8988234661192311,0.13266348814021256,2.6468531468531467
NGC5371,PATHOLOGY_ARCHIVE_ZONE,19,46.24,0.31487928994082837,0.7967487657174556,0.047955925565728946,0.014492753623188406,0.0,0.8421052631578947,0.6966320509717914,0.44371497049844844,2.6363636363636362
NGC4157,NUISANCE_SENSITIVE_ZONE,17,29.61,0.36864528853177503,0.7387332125639156,0.05452960476777074,0.036464088397790057,0.0,0.5294117647058824,0.9337032270373598,0.5214088244859909,2.625874125874126
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,29,11.27,0.376482050834134,0.8799831513669317,0.03548190373192976,0.08925233644859813,0.0,0.034482758620689655,0.8525585956996011,0.24473112438914904,2.6153846153846154
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,115,62.39,0.43580751406106516,0.7873267203282828,0.04854810870572828,0.017870722433460075,0.0,0.6434782608695652,0.8052001461166214,0.4681111807848703,2.594405594405594
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,68,108.31,0.5754725838719608,0.8443824849953832,0.06826317012984681,0.016809618794326242,0.0,0.4852941176470588,0.82812000630551,0.3750601559625466,2.5734265734265733
NGC2903,HALO_COMPARATOR_DOMINANT_ZONE,34,24.96,0.4555126207583625,1.3388962987561883,0.10962352318413546,0.01671425910981439,0.0,0.5294117647058824,0.9100433070645076,0.6988293596219689,2.562937062937063
