galaxy,zone,phase4b_shape_pc1,phase4b_shape_pc2
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,-1.540283523465104,-0.4464202557819616
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,-12.207268804971864,2.147147225568538
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,1.3545851129044741,-2.9289579318390615
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,-3.6404478696337623,-4.773709271409622
NGC5371,PATHOLOGY_ARCHIVE_ZONE,-11.089376744304554,2.097180815142306
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,1.8938497101849012,-0.9734695487036139
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,-0.3816372258435304,1.6899764956156702
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,2.0977323045263043,2.9328898331771813
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,2.320528443851771,-0.33600224767021586
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,-9.133997788449824,1.601858964702263
NGC6503,RESPONSE_FAMILY_DOMINANT_ZONE,2.985193781159927,-1.8604378126645575
NGC6674,PATHOLOGY_ARCHIVE_ZONE,3.262537025185973,1.4609990292437516
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,-6.791578964722249,-0.7055913274213335
NGC7331,NUISANCE_SENSITIVE_ZONE,-8.86742791421729,-5.046571428630431
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,-2.5305352258622733,1.319966197408721
NGC7814,NUISANCE_SENSITIVE_ZONE,-1.3926298271466555,-2.7359181653432953
UGC00128,NUISANCE_SENSITIVE_ZONE,6.256771732145174,0.9329744195513955
UGC00191,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,3.605186046257739,1.062317991960035
UGC00731,NUISANCE_SENSITIVE_ZONE,4.5924050437748365,0.6131575026251148
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,6.2972054669674895,2.3691684081700837
UGC01281,UNRESOLVED_TRIANGULAR_ZONE,3.180281395931148,-1.1860610947679142
UGC02259,NUISANCE_SENSITIVE_ZONE,4.615958583712736,1.3328699005573272
UGC02455,PATHOLOGY_ARCHIVE_ZONE,-27.46092316833569,6.679277175590748
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,4.031261216510446,1.3094947871431413
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,-0.01681539340437581,-0.14406636682291943
UGC02916,NUISANCE_SENSITIVE_ZONE,-3.303222629974676,-0.4708577075435355
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,1.6339565547574662,-1.4966419843587344
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,0.5022825823549152,0.14750348023918225
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,-4.062273669457352,-4.043525687533278
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,2.924763678218543,-3.2615068613492997
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,1.1066622244667645,-0.3656595172300029
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,-8.920022726445943,6.575144356023543
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,3.577268641058244,1.139891416547308
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,1.193260687881635,0.14595163265896738
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,1.3562458533546435,0.11778377639617257
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,3.587742484002518,-0.8074784995827617
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,-0.2249953872164652,0.09025904764676604
UGC05716,NUISANCE_SENSITIVE_ZONE,5.237045692070024,0.14910138504525225
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,7.087860467106579,0.5294820566735312
UGC05750,MIXED_THREE_WAY_COMPETITIVE_ZONE,3.4021474671565977,0.09413970211458557
UGC05764,NUISANCE_SENSITIVE_ZONE,7.170772279045665,-0.5525845158059773
UGC05829,NUISANCE_SENSITIVE_ZONE,0.8822006561588234,0.698112168928145
UGC05918,NUISANCE_SENSITIVE_ZONE,3.7141499379431364,0.2267067384616308
UGC05986,RESPONSE_FAMILY_DOMINANT_ZONE,3.3418007481606917,-0.5486030396238982
UGC06399,MIXED_THREE_WAY_COMPETITIVE_ZONE,2.1076946569764043,-0.05756874895372616
UGC06446,NUISANCE_SENSITIVE_ZONE,5.019601406794316,0.6518806431960132
UGC06614,MIXED_THREE_WAY_COMPETITIVE_ZONE,1.1688364754084988,-2.5215081146962466
UGC06667,NUISANCE_SENSITIVE_ZONE,4.814374682699703,-0.7397272327835405
UGC06786,NUISANCE_SENSITIVE_ZONE,3.088190368677953,-0.3378348510764926
UGC06787,NUISANCE_SENSITIVE_ZONE,2.884454350359854,-1.9289427086162922
UGC06818,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,-0.7274075907284103,-0.7818348364651012
UGC06917,MIXED_THREE_WAY_COMPETITIVE_ZONE,0.7995183863085662,0.6330352223445466
UGC06930,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,1.6918965844885567,1.1191547325488942
UGC06973,PATHOLOGY_ARCHIVE_ZONE,-25.395212733781644,-12.997845360795209
UGC06983,NUISANCE_SENSITIVE_ZONE,4.054124505278654,0.23599354914626391
UGC07089,MIXED_THREE_WAY_COMPETITIVE_ZONE,-1.7811698043402124,1.129948995839985
UGC07125,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,0.17214359654159467,1.0079922796940273
UGC07151,RESPONSE_FAMILY_DOMINANT_ZONE,-0.20057930337744523,1.341398408737897
UGC07323,MIXED_THREE_WAY_COMPETITIVE_ZONE,-2.9060367255283905,1.8423375764640533
UGC07399,NUISANCE_SENSITIVE_ZONE,4.996333512594156,-0.12320038371178912
UGC07524,RESPONSE_FAMILY_DOMINANT_ZONE,2.2911767121914863,0.46848637079859895
UGC07577,PATHOLOGY_ARCHIVE_ZONE,-6.908858756214904,4.055595148979099
UGC07603,RESPONSE_FAMILY_DOMINANT_ZONE,3.628528149376181,-0.8909042788876053
UGC07608,MIXED_THREE_WAY_COMPETITIVE_ZONE,3.3237006984933366,-0.9351375240771072
UGC08286,NUISANCE_SENSITIVE_ZONE,4.757932356916369,0.40651740174725426
UGC08490,RESPONSE_FAMILY_DOMINANT_ZONE,6.696430019774238,0.6035987322828417
UGC08550,NUISANCE_SENSITIVE_ZONE,4.239834978184663,0.11315683943165245
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,0.6380442879202941,-1.0117286045743477
UGC08837,RESPONSE_FAMILY_DOMINANT_ZONE,-2.4951836280954547,1.111478553374723
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,-5.968489668088383,-1.4047042832297356
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,2.9271625348714556,-0.7694533777186552
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,-6.246677790537918,1.1211221320506566
UGC11557,PATHOLOGY_ARCHIVE_ZONE,-11.797223751461592,3.788069858440987
UGC11820,NUISANCE_SENSITIVE_ZONE,3.7396878256903334,0.3925535865460707
UGC11914,PATHOLOGY_ARCHIVE_ZONE,-6.2533443477737345,2.587034326486724
UGC12506,HALO_COMPARATOR_DOMINANT_ZONE,3.9243287637602586,2.320688822129665
UGC12632,NUISANCE_SENSITIVE_ZONE,3.3458482867674983,0.5279329323989623
UGC12732,NUISANCE_SENSITIVE_ZONE,3.506369063205179,0.44058997232218944
UGCA442,NUISANCE_SENSITIVE_ZONE,4.450305453849567,-1.1207256522624878
UGCA444,NUISANCE_SENSITIVE_ZONE,2.7565106749510457,-0.3716314848869052
