zone,galaxy_count,median_abs_residual_norm,median_roughness_rms_diff,median_err_fraction,median_kernel_curve_corr,median_kernel_curve_rmse
HALO_COMPARATOR_DOMINANT_ZONE,6,0.46034486911286643,0.0562193167481147,0.029628857555537444,0.9326320041593146,0.2983172683910923
MIXED_THREE_WAY_COMPETITIVE_ZONE,16,0.45393492884107733,0.02667622747100102,0.08108521071274177,0.9735982874027217,0.12200064220411955
NUISANCE_SENSITIVE_ZONE,30,0.6043509308767135,0.028260685733174994,0.0444697858808322,0.9773095058177954,0.17437193017427244
PATHOLOGY_ARCHIVE_ZONE,12,0.3434008813338321,0.037562227612251156,0.0351786843769766,0.6828633194060039,1.0035710476292592
RESPONSE_FAMILY_DOMINANT_ZONE,54,0.40382404057637367,0.03180397343169951,0.03889412707579526,0.97335167898898,0.17269219151420856
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,23,0.40580152532568775,0.03093713520268305,0.041106128550074734,0.9346298359446022,0.19266732456931243
UNRESOLVED_TRIANGULAR_ZONE,2,0.24403667695872502,0.025701661361213195,0.10295343656068752,0.9696292226756345,0.1700950855979491
