galaxy,zone,s,residual_norm_v2_proxy,vobs_norm,snrrf_kernel_proxy_norm
CamB,PATHOLOGY_ARCHIVE_ZONE,0.05,-0.048051303854875285,0.11845238095238095,9.152575165817556e-17
CamB,PATHOLOGY_ARCHIVE_ZONE,0.07436,-0.048051303854875285,0.11845238095238095,1.0714596617476898e-14
CamB,PATHOLOGY_ARCHIVE_ZONE,0.09872,-0.064786365276644,0.12979049523809524,3.211922165396616e-13
CamB,PATHOLOGY_ARCHIVE_ZONE,0.12308,-0.10845929883616781,0.15937919523809524,4.530572693520086e-12
CamB,PATHOLOGY_ARCHIVE_ZONE,0.14744,-0.15213223239569162,0.1889678952380952,3.956280894054535e-11
CamB,PATHOLOGY_ARCHIVE_ZONE,0.17179,-0.19578723782157031,0.2185444488095238,2.4767251167145977e-10
CamB,PATHOLOGY_ARCHIVE_ZONE,0.19615,-0.23946017138109416,0.2481331488095238,1.2160823958673545e-09
CamB,PATHOLOGY_ARCHIVE_ZONE,0.22051,-0.28313310494061805,0.2777218488095239,4.954989318428288e-09
CamB,PATHOLOGY_ARCHIVE_ZONE,0.24487,-0.3231711397150918,0.30863792224702385,1.7423292391400386e-08
CamB,PATHOLOGY_ARCHIVE_ZONE,0.26923,-0.3612468736622645,0.3402705784970239,5.437317080099286e-08
CamB,PATHOLOGY_ARCHIVE_ZONE,0.29359,-0.3993226076094371,0.3719032347470239,1.5374405821692128e-07
CamB,PATHOLOGY_ARCHIVE_ZONE,0.31795,-0.4373983415566097,0.4035358909970239,4.0013740790204297e-07
CamB,PATHOLOGY_ARCHIVE_ZONE,0.34231,-0.46818361800063785,0.43723533928571434,9.703718063698475e-07
CamB,PATHOLOGY_ARCHIVE_ZONE,0.36667,-0.4988205601137331,0.4709768392857143,2.214152453021388e-06
CamB,PATHOLOGY_ARCHIVE_ZONE,0.39103,-0.5294575022268283,0.5047183392857143,4.790971571077217e-06
CamB,PATHOLOGY_ARCHIVE_ZONE,0.41538,-0.5520441519670369,0.5375932443977591,9.891200615280453e-06
CamB,PATHOLOGY_ARCHIVE_ZONE,0.43974,-0.5567775769495299,0.5685865679271709,1.9599838293249842e-05
CamB,PATHOLOGY_ARCHIVE_ZONE,0.4641,-0.561511001932023,0.5995798914565826,3.743151754705672e-05
CamB,PATHOLOGY_ARCHIVE_ZONE,0.48846,-0.5662444269145159,0.6305732149859944,6.915805066232796e-05
CamB,PATHOLOGY_ARCHIVE_ZONE,0.51282,-0.559681061170015,0.6621635416666667,0.00012401303497499961
CamB,PATHOLOGY_ARCHIVE_ZONE,0.53718,-0.5369687946707591,0.6946072916666666,0.00021642850010389177
CamB,PATHOLOGY_ARCHIVE_ZONE,0.56154,-0.514256528171503,0.7270510416666667,0.00036849021315356567
CamB,PATHOLOGY_ARCHIVE_ZONE,0.5859,-0.4915442616722471,0.7594947916666666,0.0006133511926985926
CamB,PATHOLOGY_ARCHIVE_ZONE,0.61026,-0.4497046274602289,0.7895304017857142,0.0009999037131036316
CamB,PATHOLOGY_ARCHIVE_ZONE,0.63462,-0.4012229469356754,0.8187297767857141,0.0015990796747715138
CamB,PATHOLOGY_ARCHIVE_ZONE,0.65897,-0.3527611685788249,0.8479171651785713,0.0025117684464205725
CamB,PATHOLOGY_ARCHIVE_ZONE,0.68333,-0.30550851674163837,0.8765803499999999,0.0038813950754504572
CamB,PATHOLOGY_ARCHIVE_ZONE,0.70769,-0.2739822759916383,0.89838255,0.005905918775221733
CamB,PATHOLOGY_ARCHIVE_ZONE,0.73205,-0.2424560352416384,0.92018475,0.00885713392709323
CamB,PATHOLOGY_ARCHIVE_ZONE,0.75641,-0.2109297944916383,0.94198695,0.013102785484022446
CamB,PATHOLOGY_ARCHIVE_ZONE,0.78077,-0.17940355374163838,0.96378915,0.019133880929840075
CamB,PATHOLOGY_ARCHIVE_ZONE,0.80513,-0.1478773129916383,0.98559135,0.027597005463325906
CamB,PATHOLOGY_ARCHIVE_ZONE,0.82949,-0.09924009255841668,1.0090769029017856,0.03933105379213349
CamB,PATHOLOGY_ARCHIVE_ZONE,0.85385,-0.0172567640427915,1.0358429966517857,0.055406576318533095
CamB,PATHOLOGY_ARCHIVE_ZONE,0.87821,0.06472656447283368,1.0626090904017857,0.07716398632213985
CamB,PATHOLOGY_ARCHIVE_ZONE,0.90256,0.14667623809169525,1.0893641964285714,0.106230289183601
CamB,PATHOLOGY_ARCHIVE_ZONE,0.92692,0.22865956660732004,1.1161302901785715,0.14458172725968368
CamB,PATHOLOGY_ARCHIVE_ZONE,0.95128,0.3106428951229452,1.1428963839285715,0.19445204330731275
CamB,PATHOLOGY_ARCHIVE_ZONE,0.97564,0.39262622363857,1.1696624776785713,0.25830225754042385
CamB,PATHOLOGY_ARCHIVE_ZONE,1.0,0.4746095521541952,1.1964285714285714,0.3386624081797217
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.05,-0.02956504966727746,0.14487247446744425,0.000905568167996886
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.07436,-0.029951236933495877,0.17529965521649882,0.0029727252544443647
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.09872,-0.03075030793517494,0.238257395997278,0.006929045793881287
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.12308,-0.031549378936854,0.30121513677805717,0.013343961718684655
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.14744,-0.02394491659841424,0.35688001043919104,0.022726664805257122
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.17179,-0.015553653197827522,0.41183651179049663,0.035492447781766905
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.19615,-0.0028281898179072828,0.4591958129184315,0.05195724853636606
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.22051,0.018141842548668654,0.49204916007773053,0.07228227926416751
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,0.24487,0.03911187491524457,0.5249025072370296,0.09647701238220108
