galaxy,zone,winner_existing_aic,winner_existing_aic_family,winner_existing_aic_score,winner_existing_aicc,winner_existing_aicc_family,winner_existing_aicc_score,winner_existing_bic,winner_existing_bic_family,winner_existing_bic_score,winner_poly_degree_aic,winner_poly_degree_aic_degree,winner_poly_degree_aic_score,winner_poly_degree_aicc,winner_poly_degree_aicc_degree,winner_poly_degree_aicc_score,winner_poly_degree_bic,winner_poly_degree_bic_degree,winner_poly_degree_bic_score,phase5_winning_comparator,phase5_winning_comparator_family,phase5_overflex_winner
NGC0289,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,9.046248459382982,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-96.78831745744613,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-93.46597386493032,POLY5_NULL,5,-194.1427281574204,POLY5_NULL,5,-191.59727361196587,POLY5_NULL,5,-184.0094514327368,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC0300,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-29.77611305178681,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-144.57469392451978,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-142.6823968202379,POLY6_NULL,6,-252.45762461723473,POLY6_NULL,6,-248.95762461723473,POLY6_NULL,6,-240.6354684384372,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC0801,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,7.86392273452069,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-68.73868357536901,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-68.80878486044594,POLY6_NULL,6,-376.9937245456771,POLY6_NULL,6,-373.4937245456771,POLY6_NULL,6,-365.1715683668795,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,False
NGC0891,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,18.970164216064447,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-78.3784515918922,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-80.67258468087886,POLY6_NULL,6,-215.70942786459574,POLY6_NULL,6,-212.20942786459574,POLY6_NULL,6,-203.8872716857982,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC1003,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,4.23044501458769,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-205.79348660618334,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-199.43446206644228,POLY6_NULL,6,-241.58222684051682,POLY6_NULL,6,-238.08222684051682,POLY6_NULL,6,-229.76007066171928,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC1090,HALO_COMPARATOR_DOMINANT_ZONE,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-1.3480837942378985,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-139.59546660360303,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-137.81078751433571,POLY6_NULL,6,-261.1826748540909,POLY6_NULL,6,-257.6826748540909,POLY5_NULL,5,-249.53043398281804,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,False
NGC1705,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.73274607539049,NFW_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-87.11017917374161,NFW_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-86.9229736054202,POLY6_NULL,6,-327.9779020364294,POLY6_NULL,6,-324.4779020364294,POLY6_NULL,6,-316.1557458576318,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2366,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-45.87159854268536,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-176.49016877990584,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-173.36264218335592,POLY6_NULL,6,-294.79533434819785,POLY6_NULL,6,-291.29533434819785,POLY4_NULL,4,-284.078732352133,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2403,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-37.66870096893659,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-464.6315236479999,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-452.1614942738368,POLY6_NULL,6,-300.8406303623102,POLY6_NULL,6,-297.3406303623102,POLY6_NULL,6,-289.01847418351264,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,6.836541053333514,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-43.52820788741207,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-47.676656532465245,POLY5_NULL,5,-193.43349229806407,POLY5_NULL,5,-190.88803775260953,POLY5_NULL,5,-183.30021557338046,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
