galaxy,zone,winner_existing_aic,winner_existing_aic_family,winner_existing_aic_score,winner_existing_aicc,winner_existing_aicc_family,winner_existing_aicc_score,winner_existing_bic,winner_existing_bic_family,winner_existing_bic_score,winner_poly_degree_aic,winner_poly_degree_aic_degree,winner_poly_degree_aic_score,winner_poly_degree_aicc,winner_poly_degree_aicc_degree,winner_poly_degree_aicc_score,winner_poly_degree_bic,winner_poly_degree_bic_degree,winner_poly_degree_bic_score,phase5_winning_comparator,phase5_winning_comparator_family,phase5_overflex_winner
NGC3741,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-25.9866711505718,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-143.3798915644473,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-141.9575133556671,POLY3_NULL,3,-301.07589998383304,POLY3_NULL,3,-299.9330428409759,POLY3_NULL,3,-294.3203821673773,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-6.850288843088439,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-52.020653181621675,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-52.38417321537901,POLY4_NULL,4,-228.87879066898302,POLY4_NULL,4,-227.1140847866301,POLY4_NULL,4,-220.43439339841333,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,False
NGC3877,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-2.641664463861641,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-62.00855687867033,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-72.61886073390112,POLY6_NULL,6,-308.00531631407466,POLY6_NULL,6,-304.50531631407466,POLY6_NULL,6,-296.1831601352771,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.08682790942144,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-48.98437605415336,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-75.16886549618908,POLY6_NULL,6,-356.9684409859452,POLY6_NULL,6,-353.4684409859452,POLY6_NULL,6,-345.14628480714765,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.015242901422749,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-103.11230777183535,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-106.38224403385145,POLY4_NULL,4,-292.1985908254965,POLY4_NULL,4,-290.4338849431436,POLY4_NULL,4,-283.7541935549268,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-18.245500820279773,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-46.57280706527025,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-64.92265235108201,POLY6_NULL,6,-364.686708998635,POLY6_NULL,6,-361.186708998635,POLY6_NULL,6,-352.86455281983746,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.01902753116196,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-53.00696830511608,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-65.22558894798621,POLY6_NULL,6,-331.0565055507252,POLY6_NULL,6,-327.5565055507252,POLY6_NULL,6,-319.23434937192764,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-7.145997398438901,NUISANCE_GRADIENT_PROXY,NUISANCE_PROXY,-55.53939868016797,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-59.885584109584954,POLY6_NULL,6,-312.2420720552634,POLY6_NULL,6,-308.7420720552634,POLY6_NULL,6,-300.41991587646584,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-21.473672527756648,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-70.38903317735067,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-84.27959327862266,POLY5_NULL,5,-332.4456356886682,POLY5_NULL,5,-329.9001811432136,POLY5_NULL,5,-322.31235896398454,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-9.61486468025102,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-211.81081984471533,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-205.2062579381166,POLY6_NULL,6,-213.978319989209,POLY6_NULL,6,-210.478319989209,POLY6_NULL,6,-202.15616381041147,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,10.387037880296244,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-49.30675830645264,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-49.670278340209975,POLY6_NULL,6,-211.19288508915844,POLY6_NULL,6,-207.69288508915844,POLY6_NULL,6,-199.3707289103609,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,False
NGC4100,HALO_COMPARATOR_DOMINANT_ZONE,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,12.376799760595889,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-122.15789094442457,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-119.55093878092752,POLY6_NULL,6,-195.63883710789847,POLY6_NULL,6,-192.13883710789847,POLY6_NULL,6,-183.81668092910093,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,False
NGC4157,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-8.00661874961105,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-88.43404288807997,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-91.83476282374268,POLY6_NULL,6,-251.1704698238832,POLY4_NULL,4,-249.36290276942282,POLY4_NULL,4,-242.68321138120606,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4183,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-57.23774653728627,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-166.04182318709783,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-164.47885789152292,POLY6_NULL,6,-328.1901147779881,POLY6_NULL,6,-324.6901147779881,POLY6_NULL,6,-316.3679585991905,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-44.075283784760245,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-93.4866964058186,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-101.65235242812706,POLY6_NULL,6,-346.20424053350206,POLY6_NULL,6,-342.70424053350206,POLY5_NULL,5,-334.8280161329289,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4217,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,2.3991330267071937,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-96.46617557439154,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-97.7995416993929,POLY6_NULL,6,-234.73310349325396,POLY6_NULL,6,-231.23310349325396,POLY6_NULL,6,-222.91094731445642,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC4559,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-84.10964990479015,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-247.54177008019235,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-242.107354663394,POLY6_NULL,6,-331.7773629230317,POLY6_NULL,6,-328.2773629230317,POLY6_NULL,6,-319.95520674423415,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5005,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-29.448662150483173,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-84.4052159400615,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-86.69934902904815,POLY6_NULL,6,-292.26837984390136,POLY6_NULL,6,-288.76837984390136,POLY6_NULL,6,-280.4462236651038,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5033,HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,1.7658070134657695,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-97.39428377111304,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-96.44802905096313,POLY6_NULL,6,-271.71621310546004,POLY6_NULL,6,-268.21621310546004,POLY6_NULL,6,-259.8940569266625,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5055,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,0.0191950275353463,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-148.68735249819392,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-144.6941254371427,POLY6_NULL,6,-314.31321005436234,POLY6_NULL,6,-310.81321005436234,POLY6_NULL,6,-302.4910538755648,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5371,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-4.156743890091384,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-110.63188457213047,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-111.96525069713184,POLY6_NULL,6,-266.24160402182656,POLY6_NULL,6,-262.74160402182656,POLY6_NULL,6,-254.41944784302902,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5585,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.72929017594645,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-155.91302240412134,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-153.7858758926219,POLY6_NULL,6,-304.3828672467964,POLY6_NULL,6,-300.8828672467964,POLY6_NULL,6,-292.56071106799885,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5907,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-18.97569928338386,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-125.2189946956079,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-126.55236082060927,POLY6_NULL,6,-288.861982369002,POLY6_NULL,6,-285.361982369002,POLY6_NULL,6,-277.03982619020445,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC5985,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-48.66092851491235,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-238.40970033826744,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-232.66142420023778,POLY6_NULL,6,-294.47346832035896,POLY6_NULL,6,-290.97346832035896,POLY6_NULL,6,-282.6513121415614,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC6015,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-6.1185973112274965,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-261.935729516115,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-253.50086198287568,POLY6_NULL,6,-261.74459189879695,POLY6_NULL,6,-258.24459189879695,POLY6_NULL,6,-249.9224357199994,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC6195,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,9.31868662677406,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-115.91152882311468,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-114.34856352753978,POLY6_NULL,6,-254.79550225787955,POLY6_NULL,6,-251.29550225787955,POLY3_NULL,3,-243.04162573679875,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC6503,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,38.19497499925912,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-140.08599840087436,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-137.64659542047548,POLY6_NULL,6,-200.3609438210748,POLY6_NULL,6,-196.8609438210748,POLY6_NULL,6,-188.53878764227727,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC6674,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-23.49398152587713,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-80.67456612657851,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-80.25846572437409,POLY6_NULL,6,-290.13515273329233,POLY6_NULL,6,-286.63515273329233,POLY6_NULL,6,-278.31299655449476,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC6946,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,22.02803119554448,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-286.7530417569449,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-276.0374425171958,POLY6_NULL,6,-255.24309184878427,POLY4_NULL,4,-252.14939837906246,POLY4_NULL,4,-245.4697069908457,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC7331,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,6.152531133664323,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-174.51347712740545,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-167.90891522080673,POLY6_NULL,6,-253.25861566243452,POLY6_NULL,6,-249.75861566243452,POLY6_NULL,6,-241.43645948363698,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC7793,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-86.48363651008474,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-293.8252471907768,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-285.00724496568836,POLY6_NULL,6,-270.0033375253383,POLY6_NULL,6,-266.5033375253383,POLY6_NULL,6,-258.1811813465407,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
NGC7814,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-61.03861775324559,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-153.6343154182379,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-155.92844850722452,POLY5_NULL,5,-359.88735407096743,POLY5_NULL,5,-357.3418995255129,POLY5_NULL,5,-349.7540773462838,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC00128,NUISANCE_SENSITIVE_ZONE,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-13.405521666279082,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-141.85097699333178,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-140.30047103398357,POLY6_NULL,6,-301.77279289105746,POLY6_NULL,6,-298.27279289105746,POLY6_NULL,6,-289.9506367122599,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,False
UGC00191,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-10.778513792399274,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-46.94747036123,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-63.21709031633577,POLY6_NULL,6,-299.3301898222465,POLY6_NULL,6,-295.8301898222465,POLY6_NULL,6,-287.5080336434489,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC00731,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-39.57958966604527,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-90.87284659776658,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-104.76340669903857,POLY5_NULL,5,-371.93987446045526,POLY5_NULL,5,-369.3944199150007,POLY4_NULL,4,-361.8889139946815,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,-20.014082539223185,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-58.645823750939044,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-59.3500332053423,POLY6_NULL,6,-257.3309997653034,POLY6_NULL,6,-253.83099976530337,POLY6_NULL,6,-245.50884358650583,SN_RRF_SATURATING_FAMILY,SN_RRF_FAMILY,False
UGC01281,UNRESOLVED_TRIANGULAR_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-111.55112058195505,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-214.2230997297577,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-211.57651144721515,POLY6_NULL,6,-358.76166847432876,POLY6_NULL,6,-355.26166847432876,POLY6_NULL,6,-346.9395122955312,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC02259,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-13.902067175786328,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-46.165565868536305,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-61.22669244116103,POLY6_NULL,6,-406.17860220363383,POLY6_NULL,6,-402.67860220363383,POLY6_NULL,6,-394.35644602483626,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC02455,PATHOLOGY_ARCHIVE_ZONE,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-1.3988276667991215,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-37.807046479492556,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-40.048163396132885,POLY6_NULL,6,-261.50666411284095,POLY6_NULL,6,-258.00666411284095,POLY6_NULL,6,-249.6845079340434,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,False
UGC02487,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-35.30150046894122,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-127.31515003932509,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-130.7158699749878,POLY6_NULL,6,-286.5086603984812,POLY6_NULL,6,-283.0086603984812,POLY6_NULL,6,-274.6865042196836,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC02885,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,4.499260645606808,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-99.64680197219148,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-98.5079240138586,POLY6_NULL,6,-356.1882402161917,POLY6_NULL,6,-352.6882402161917,POLY6_NULL,6,-344.3660840373941,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC02916,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,63.30300531443396,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-133.97367949837508,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-130.75127926698795,POLY6_NULL,6,-208.89830712012747,POLY6_NULL,6,-205.39830712012747,POLY6_NULL,6,-197.07615094132993,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC02953,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,65.12254533759204,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-508.8772899056351,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-503.49456850605145,POLY3_NULL,3,-268.45365947194995,POLY3_NULL,3,-267.3108023290928,POLY3_NULL,3,-261.6981416554942,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC03205,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,47.009398489559686,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-226.74585070232195,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-223.27011534717283,POLY6_NULL,6,-233.82185700880353,POLY6_NULL,6,-230.32185700880353,POLY6_NULL,6,-221.999700830006,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC03546,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-42.39358814085509,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-110.39656878781825,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-105.6415584108888,POLY5_NULL,5,-288.5011185717172,POLY5_NULL,5,-285.95566402626264,POLY5_NULL,5,-278.36784184703356,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC03580,HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,35.30952037414191,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-228.51806837182693,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-225.09050044113408,POLY6_NULL,6,-292.197270447708,POLY6_NULL,6,-288.697270447708,POLY6_NULL,6,-280.3751142689104,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC04278,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-60.26098004140414,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-165.6371768078401,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-163.7448797035582,POLY6_NULL,6,-351.92549589830065,POLY6_NULL,6,-348.42549589830065,POLY6_NULL,6,-340.1033397195031,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC04305,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-24.39334117709609,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-96.9980027069806,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-96.05174798683069,POLY6_NULL,6,-204.32007456282986,POLY6_NULL,6,-200.82007456282986,POLY6_NULL,6,-192.49791838403232,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC04325,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-20.909452640235884,SN_RRF_LOCKED_N3_258993,SN_RRF_FAMILY,-54.016963006643714,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-64.76766984133135,POLY6_NULL,6,-400.42118545143126,POLY6_NULL,6,-396.92118545143126,POLY6_NULL,6,-388.5990292726337,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-15.142718025572655,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-44.04659765684902,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-49.16440060372098,POLY5_NULL,5,-301.0541513569702,POLY5_NULL,5,-298.5086968115156,POLY5_NULL,5,-290.92087463228654,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC04499,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-11.692268252330145,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-55.762897646474705,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-60.48472660736387,POLY6_NULL,6,-373.3360400140373,POLY6_NULL,6,-369.8360400140373,POLY6_NULL,6,-361.5138838352397,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC05005,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-64.18954637986141,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-93.7886443584376,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-112.40127272164737,POLY6_NULL,6,-419.44654852516237,POLY6_NULL,6,-415.94654852516237,POLY6_NULL,6,-407.6243923463648,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC05253,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-30.238022188235952,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-335.34516099997506,BARYONIC_MISMATCH_PROXY,BARYONIC_SYSTEMATICS_PROXY,-330.93567068910687,POLY5_NULL,5,-330.3911341396862,POLY5_NULL,5,-327.8456795942316,POLY5_NULL,5,-320.25785741500255,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC05716,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-35.49778450046934,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-90.50264352507536,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,-104.39320362634734,POLY5_NULL,5,-375.7981914437186,POLY5_NULL,5,-373.25273689826406,POLY5_NULL,5,-365.664914719035,OVERFLEX_POLY5_NULL,OVERFLEX_NULL,True
UGC05721,RESPONSE_FAMILY_DOMINANT_ZONE,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-23.096196566461387,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-137.83397382275814,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,-136.16298539089985,POLY6_NULL,6,-264.8943769490145,POLY6_NULL,6,-261.3943769490145,POLY6_NULL,6,-253.07222077021694,EINASTO_LIKE_SURROGATE_DIAGNOSTIC,HALO_OR_CORED_COMPARATOR,False
