galaxy,zone,model,degree,n_points,k_effective,rss,aic,aicc,bic,coef_json
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY1_NULL,1,40,2,2.4049050180957616,-108.45476179405509,-108.13043746973077,-105.07700288582721,"[-0.4676760895520779, 0.43562628898576833]"
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY2_NULL,2,40,3,0.044289877233488484,-266.2351434817438,-265.56847681507713,-261.168505119402,"[0.2081839749369252, -3.174739697606923, 3.438443796754944]"
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY3_NULL,3,40,4,0.0416275257343985,-266.7149243332981,-265.5720671904409,-259.95940651684236,"[0.17534907872254038, -2.8538035221447173, 2.700176608165708, 0.46874107212014715]"
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY4_NULL,4,40,5,0.028200421793563784,-280.29191192181156,-278.52720603945863,-271.8475146512419,"[0.06827899249444479, -1.277587019427457, -3.551830843917452, 9.517977030342479, -4.309159980105876]"
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY5_NULL,5,40,6,0.011218683426856831,-315.16216726085815,-312.6167127154036,-305.0288905361745,"[-0.10857537588403418, 2.234255464298683, -24.171011509011166, 59.269259199877844, -56.68021553740701, 19.9508783075433]"
CamB,PATHOLOGY_ARCHIVE_ZONE,POLY6_NULL,6,40,7,0.011032566282539154,-313.83133052071577,-310.33133052071577,-302.0091743419182,"[-0.08102415491080964, 1.5454794429489747, -18.700194355425488, 40.09327505787834, -23.727698444145222, -7.27323149047038, 8.642574539051939]"
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.16129427622632403,-216.5361693544881,-216.21184503016377,-213.15841044626023,"[-0.18966180138601846, 1.2048979633426875]"
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.15096954541530416,-217.18226410455466,-216.515597437888,-212.11562574221284,"[-0.23435933503264605, 1.4436669980013295, -0.2273990806272781]"
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.0020096091154476027,-387.9477799945353,-386.80492285167816,-381.1922621780796,"[0.011245940080988504, -0.9569380519936331, 5.294845143229707, -3.5061868087980876]"
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.00196890612265213,-386.7662644901458,-385.00155860779284,-378.3218672195761,"[0.005350854035094318, -0.8701544111298016, 4.950620876788989, -3.0079521804100207, -0.2372545849466997]"
