galaxy,zone,model,degree,n_points,k_effective,rss,aic,aicc,bic,coef_json
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.001963378023832547,-384.8787304718594,-382.33327592640484,-374.74545374717576,"[0.0021599582694236535, -0.8067919767508103, 4.578599213546757, -2.110314440008562, -1.1821595989059404, 0.3599638148416146]"
D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.0014753390377704573,-394.30987654406385,-390.80987654406385,-382.4877203652663,"[0.04677434401287671, -1.922144328546197, 13.437631162041555, -33.16246833012045, 52.17868093315286, -43.72472256731462, 13.995138534017975]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY1_NULL,1,40,2,0.3748832357500276,-182.80080507780164,-182.47648075347732,-179.42304616957378,"[-0.02113423114145978, 0.8358953738197418]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY2_NULL,2,40,3,0.23292063730655982,-199.83747799880626,-199.1708113321396,-194.77083963646444,"[-0.18687569154109948, 1.721267010102885, -0.8432110821744215]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY3_NULL,3,40,4,0.1074449424225234,-228.78624720961184,-227.6433900667547,-222.0307293931561,"[0.03853927928947923, -0.4819931481733887, 4.225069800897494, -3.2179561162361368]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY4_NULL,4,40,5,0.04605287545212402,-260.6737812154834,-258.9090753331305,-252.22938394491374,"[0.26748530279995797, -3.852388308964937, 17.593623946478296, -22.56777324470469, 9.214198632604074]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY5_NULL,5,40,6,0.030084325627819784,-275.7052176094762,-273.15976306402166,-265.5719408847926,"[0.09598793543639056, -0.4469211662723248, -2.400992153078889, 25.6765194649777, -41.57051331133477, 19.34655693102432]"
DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY6_NULL,6,40,7,0.005144702967757327,-344.34668390763795,-340.84668390763795,-332.5245277288404,"[-0.22294002752879094, 7.52622578215877, -65.73018443253595, 247.65425200180505, -423.022905615029, 334.48793995194075, -100.04488349870452]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.31788858651645546,-189.3973507428678,-189.07302641854346,-186.01959183463993,"[0.020756852832890534, 1.0141687559056558]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.043728096206536386,-266.7457561519957,-266.079089485329,-261.6791177896539,"[-0.20957108818976464, 2.2445538721779794, -1.171795348830785]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.0071797584003984345,-337.0147599828663,-335.8719028400091,-330.25924216641056,"[-0.08791418237443854, 1.0554500048774498, 1.5635658730328972, -1.7367372837229722]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.005532488254442086,-345.4398825266472,-343.67517664429425,-336.9954852560775,"[-0.050411753952882686, 0.5033635290703792, 3.75339750783039, -4.906327743097664, 1.5093287901784251]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.0009620370711383824,-413.41348106672376,-410.8680265212692,-403.2802043420401,"[0.04133786222002032, -1.318532095537664, 14.45034511035462, -30.716609304229674, 28.67871278678494, -10.35024152251677]"
DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.0007626599043672698,-420.7031125974899,-417.2031125974899,-408.88095641869234,"[0.06985364973799077, -2.0314221228563967, 20.112695234612467, -50.563943466742124, 62.78489546835292, -38.52746572321378, 8.945150539903926]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.09792091638752592,-236.4989822337243,-236.17465790939997,-233.12122332549643,"[-0.09638728449068797, 0.9714396025054695]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.07119278595941173,-247.24972962424883,-246.58306295758217,-242.183091261907,"[-0.1683037743921703, 1.3556091409316795, -0.365875750882105]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.022084186734917965,-292.07091652177905,-290.9280593789219,-285.31539870532333,"[-0.027283445041054906, -0.022757486721616815, 2.8048570391416505, -2.013163676205559]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.010748217430107157,-318.8757925090913,-317.11108662673837,-310.43139523852165,"[0.07109643929724344, -1.4710424624065341, 8.549428578084845, -10.327930370455784, 3.959412711547725]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.009760149341015224,-320.73308125818437,-318.1876267127298,-310.59980453350073,"[0.11375617451182898, -2.3181477493422875, 13.523061944223711, -22.328632096955058, 16.592040242701923, -4.812429535677794]"
DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.006406454933196659,-335.5731467078755,-332.0731467078755,-323.7509905290779,"[-0.003196296780120553, 0.6056449182035859, -9.700068047719572, 59.071707185309066, -123.28845046552946, 110.75148404528701, -36.686956692370046]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.31778748079776864,-189.4100749242222,-189.08575059989786,-186.03231601599433,"[-0.1136491213593366, 0.9746119488490305]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.26428378036420086,-194.78445126586604,-194.11778459919938,-189.71781290352422,"[-0.2153995157291187, 1.5181507407627102, -0.5176559922987428]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.024773785963270765,-287.4739462628911,-286.33108912003394,-280.7184284464354,"[0.09603358638590397, -1.5258713280915286, 6.4846758935976, -4.445925006918316]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.021562422056425647,-291.02730612341963,-289.2626002410667,-282.58290885285,"[0.14839625091534442, -2.296720580811118, 9.542222407117418, -8.871457136580387, 2.10739625222003]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.014089991995553872,-306.0467990111906,-303.50134446573605,-295.913522286507,"[0.031080682759233532, 0.03284469954094604, -4.135420485266558, 24.130837280729935, -32.632713330437355, 13.234327460059955]"
DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.009219618098839009,-321.01204469342633,-317.51204469342633,-309.18988851462876,"[-0.10985754671731596, 3.556277401460842, -32.121377411285486, 122.22555533583699, -201.20126499031642, 152.499220211429, -44.2110770639271]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY1_NULL,1,40,2,0.18869393349992747,-210.2603372060944,-209.93601288177007,-206.88257829786653,"[0.10917428277131325, 0.7774159470922604]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY2_NULL,2,40,3,0.060979809730604184,-253.4436764693708,-252.77700980270416,-248.377038107029,"[-0.04802974002656413, 1.6171815830366123, -0.7997767961374778]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY3_NULL,3,40,4,0.05235191738749077,-257.5458468054862,-256.402989662629,-250.79032898903043,"[-0.10713897113751061, 2.19492942921217, -2.1288020376679366, 0.8438255501780704]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY4_NULL,4,40,5,0.016795296446295925,-301.0214343728602,-299.25672849050727,-292.57703710229055,"[0.06709675832684905, -0.37005619674166434, 8.045123448015241, -13.882044987714908, 7.012319303758566]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY5_NULL,5,40,6,0.004469123447629104,-351.97769761709367,-349.4322430716391,-341.84442089241,"[0.21777094233227678, -3.362032054859198, 25.611996407154248, -56.268523268399434, 51.63075951504123, -16.997501032869597]"
DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY6_NULL,6,40,7,0.003430352904288641,-360.5588635865231,-357.0588635865231,-348.73670740772553,"[0.2828599233658428, -4.989245942532069, 38.53664734344682, -101.57124394748313, 129.4801500075566, -81.3136911581483, 20.41783813500938]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.10489096534568004,-233.7485339101945,-233.4242095858702,-230.37077500196665,"[-0.03607894819916181, 0.5422391191395725]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.062068702251899616,-252.73571442817837,-252.0690477615117,-247.66907606583655,"[-0.12710778620564933, 1.028504601900651, -0.4631099835819797]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.061125260698465286,-251.3483808121826,-250.20552366932546,-244.59286299572685,"[-0.14665390129937264, 1.2195530334950684, -0.9025892298042715, 0.2790344420459007]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.02718019666461952,-281.76584355048146,-280.00113766812854,-273.3214462799118,"[0.02358754222532499, -1.2866313003662653, 9.038102994001065, -14.109251274297447, 6.851564626830168]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.006078850487643293,-339.67276478101206,-337.1273102355575,-329.5394880563284,"[0.22072983356185163, -5.201336265827472, 32.02262160707402, -69.56777262019077, 65.23038776216715, -22.23955167060458]"
ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.0055501213416910816,-341.3125976883587,-337.8125976883587,-329.49044150956115,"[0.17429281960087248, -4.040418506484433, 22.801672278335136, -37.247047372375256, 9.689600738747718, 23.64612316007043, -14.566880898626998]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.16304511946046013,-216.1043105634909,-215.7799862391666,-212.72655165526305,"[-0.02087588245209848, 0.8746206193319739]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.05473579371449504,-257.764674944136,-257.0980082774693,-252.69803658179418,"[-0.16564539676042936, 1.647962554765778, -0.7365161289845754]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.04124174345204512,-267.08735196352467,-265.9444948206675,-260.33183414706895,"[-0.0917233278780582, 0.9254304683397394, 0.9255642872946018, -1.0552891531931277]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.01137750299345407,-316.599869963379,-314.83516408102605,-308.1554726928093,"[0.06795747731245354, -1.425286983893134, 10.249602580109066, -14.551022042485307, 6.4265394710915125]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.010944793447199033,-316.1508349674447,-313.60538042199016,-306.0175582427611,"[0.0961882624752442, -1.9858729145242937, 13.540986699857338, -22.492684843235573, 14.786389622051527, -3.1847048194133443]"
ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.010929132409466889,-314.20811244204447,-310.70811244204447,-302.3859562632469,"[0.08819621734189122, -1.7860730924129817, 11.954014650586563, -16.930124443887003, 5.227539067916627, 4.712452059136136, -2.507033929698237]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.11348725578989025,-230.59776745073702,-230.2734431264127,-227.22000854250916,"[-0.03471712617441302, 0.6426287006392528]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.10905316950798938,-230.19196704593196,-229.5253003792653,-225.12532868359014,"[-0.005425312622645602, 0.4861552338826785, 0.14902234929197536]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.08660745374266761,-237.40995401200308,-236.26709686914594,-230.65443619554733,"[-0.1007641125406567, 1.4180196021774765, -1.9945966626087483, 1.3610279440639526]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.017952783690778407,-298.3555819967712,-296.5908761144183,-289.91118472620155,"[-0.34287371753697465, 4.982200488784556, -16.13179509012509, 21.82339068743824, -9.743982258749664]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.016679898837352464,-299.29721604363164,-296.7517614981771,-289.163939318948,"[-0.3912931035596471, 5.943676636811962, -21.776937346141334, 35.44435215181342, -24.082188200132588, 5.46217369195541]"
ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.013497101101080605,-305.76639215853857,-302.26639215853857,-293.944235979741,"[-0.5052267979906382, 8.792000376223468, -44.400631971866034, 114.74358610482605, -160.35208407452438, 118.04315185968959, -35.73999306912232]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY1_NULL,1,40,2,0.4634108870758779,-174.32082509872504,-173.99650077440072,-170.94306619049718,"[0.2845021581854575, 0.7093892512864551]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY2_NULL,2,40,3,0.17594153798881818,-211.05931855027387,-210.39265188360721,-205.99268018793205,"[0.0486499405835808, 1.9692844115902028, -1.1999001526702362]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY3_NULL,3,40,4,0.16474897372567932,-211.68847156062137,-210.54561441776423,-204.93295374416562,"[-0.018673724323949994, 2.6273221100330026, -2.71362057049304, 0.9610923287763846]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY4_NULL,4,40,5,0.06973633827803409,-244.07652794242523,-242.3118220600723,-235.63213067185555,"[-0.303491873095439, 6.820230532751681, -19.34464470933977, 25.033050465865514, -11.462837208137675]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY5_NULL,5,40,6,0.04811238990575293,-256.92380011023397,-254.37834556477944,-246.79052338555036,"[-0.5030604758417084, 10.783115385232984, -42.612043263496325, 81.17412268502301, -70.56015257413907, 22.513262996571974]"
F563-1,NUISANCE_SENSITIVE_ZONE,POLY6_NULL,6,40,7,0.04801948585719165,-255.0011139683042,-251.5011139683042,-243.17895778950665,"[-0.48359500200898625, 10.296481720858282, -38.74680446880605, 67.62591667644894, -47.278557909970466, 3.2788995755219177, 6.106147117793543]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY1_NULL,1,40,2,0.7044327309636792,-157.56967564435232,-157.245351320028,-154.19191673612445,"[0.28658372971559376, 0.6477676751143405]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY2_NULL,2,40,3,0.11203732002608857,-229.11210811143837,-228.44544144477172,-224.04546974909655,"[-0.051987486831203404, 2.456375800502039, -1.7224839289406655]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY3_NULL,3,40,4,0.017656373064818515,-301.0215173892333,-299.8786602463761,-294.26599957277756,"[-0.24748674628174772, 4.367232598223965, -6.118133231544569, 2.7908884460977195]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY4_NULL,4,40,5,0.016121541811351087,-302.65913418903654,-300.8944283066836,-294.2147369184669,"[-0.2112868526820304, 3.834321196929951, -4.0043588569922175, -0.2686157570514194, 1.4569067634043584]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY5_NULL,5,40,6,0.009748364593833877,-320.7814078448395,-318.23595329938496,-310.6481311201559,"[-0.10294338884236796, 1.6829172896659237, 8.627240097980986, -30.74694824119156, 33.540149128526814, -12.222187567665701]"
F563-V2,NUISANCE_SENSITIVE_ZONE,POLY6_NULL,6,40,7,0.0077925817209068505,-327.7385005347438,-324.2385005347438,-315.91634435594625,"[-0.013631766337981917, -0.5498586758206296, 26.361755634919753, -92.90892133500903, 140.36092378897908, -100.47342767277226, 28.016266700034098]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY1_NULL,1,40,2,0.4024079511581573,-179.96673420665599,-179.64240988233166,-176.58897529842812,"[0.17311561443673287, 0.8083995629433576]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY2_NULL,2,40,3,0.08303545584689498,-241.09468150544578,-240.42801483877912,-236.02804314310396,"[-0.07547970474059873, 2.1363668921900985, -1.2647307897588012]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY3_NULL,3,40,4,0.026054754745192588,-285.4573783097745,-284.31452116691736,-278.7018604933188,"[-0.2273828777579826, 3.6211050521790207, -4.6801558835101, 2.1685238690484443]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY4_NULL,4,40,5,0.023837551502678606,-287.01490406392173,-285.2501981815688,-278.570506793352,"[-0.18387381485934803, 2.9805927917097943, -2.13958647651501, -1.5087289506805712, 1.751072771299536]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY5_NULL,5,40,6,0.00547147063998041,-343.88349188900315,-341.3380373435486,-333.7502151643195,"[4.788189647197977e-05, -0.6715874414853016, 19.303563208784592, -53.24813644338249, 56.21494317103279, -20.74814110466029]"
F568-1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY6_NULL,6,40,7,0.0008706537073364638,-415.40582779347847,-411.90582779347847,-403.5836716146809,"[0.1370303971276853, -4.096127933794931, 46.50403809140757, -148.58962937962156, 220.0522801449139, -156.10428516393264, 42.97020446326148]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.1791765667557655,-212.3305202791076,-212.00619595478327,-208.95276137087973,"[0.06522515822441254, 0.8422850964685148]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.16630995760970235,-213.31125885205208,-212.64459218538542,-208.24462048971026,"[0.015327950209921774, 1.1088301878368902, -0.2538524679698815]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.048538953232284535,-260.5707239233612,-259.427866780504,-253.81520610690544,"[-0.20305671575586912, 3.2433744549190315, -5.164062395873742, 3.1175936050183264]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.03735103595149779,-269.0509634233337,-267.2862575409808,-260.606566152764,"[-0.3007920495078525, 4.682170774091405, -10.870997511695846, 11.377884856611669, -3.9334720245682524]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.011687566916894234,-313.5243645195197,-310.9789099740651,-303.39108779483604,"[-0.08338060605347287, 0.3649760642759935, 14.476670585770151, -49.78259520027274, 60.44756016783713, -24.526107501868715]"
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.007831117415471604,-327.54118095057345,-324.04118095057345,-315.7190247717759,"[0.04203208425284725, -2.7703206958875666, 39.37973742522265, -137.0713495845268, 210.44685874864996, -148.44979328987114, 39.34085263111229]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY1_NULL,1,40,2,0.6740402301533643,-159.33379741240879,-159.00947308808446,-155.95603850418092,"[0.4226260708955212, 0.5761854446841557]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY2_NULL,2,40,3,0.3045086212905788,-189.1174133362312,-188.45074666956455,-184.0507749738894,"[0.15522078511646656, 2.004633431386446, -1.3604266540021817]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY3_NULL,3,40,4,0.04343287694920224,-265.0167218152622,-263.87386467240503,-258.2612039988065,"[-0.16993105327619376, 5.182745729257178, -8.6712136906796, 4.641769547096777]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY4_NULL,4,40,5,0.021590414829601244,-290.9754109913782,-289.2107051090253,-282.5310137208086,"[-0.3064923942165604, 7.1931133940860175, -16.6452664938759, 16.1835160841077, -5.4960697795290026]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY5_NULL,5,40,6,0.01298364654166074,-309.3177650344837,-306.77231048902917,-299.1844883098001,"[-0.180586873275379, 4.692975221470127, -1.9661341273900754, -19.23523639839676, 31.787742278029892, -14.20335697430815]"
F568-V1,MIXED_THREE_WAY_COMPETITIVE_ZONE,POLY6_NULL,6,40,7,0.0075115886674775815,-329.2075099765951,-325.7075099765951,-317.3853537977975,"[-0.03119636638940015, 0.9582369657576705, 27.698182689948972, -123.21284210209376, 210.46560328872948, -161.82017461717825, 46.862481791387765]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.8731288154314527,-148.98206532949305,-148.65774100516873,-145.6043064212652,"[-0.420531497671015, 1.5983647739979028]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.23637852340194226,-199.24801200978615,-198.5813453431195,-194.18137364744433,"[-0.771548996761307, 3.4734594955251907, -1.7858044966926556]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.1986495625052367,-204.20369812709998,-203.06084098424284,-197.44818031064423,"[-0.6479427630739647, 2.2653024286079506, 0.9933858513030371, -1.7645653003147241]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.06678162318735505,-245.80827169546677,-244.04356581311384,-237.3638744248971,"[-0.3124009964210686, -2.6743262630369573, 20.586249736085882, -30.12352836131623, 13.50426812428643]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.01827953428242473,-295.6341057714415,-293.08865122598695,-285.5008290467579,"[-0.01351543167863276, -8.609373464068963, 55.43286118321841, -114.20366844628947, 102.01185015303962, -33.717174106191706]"
F571-8,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.009012609119279168,-321.92040492039956,-318.42040492039956,-310.098248741602,"[0.1808931750253801, -13.469556857457576, 94.03637503089644, -249.514417935215, 334.5334121452702, -225.81759897408898, 60.984261862825235]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY1_NULL,1,40,2,0.360547120488924,-184.36048304822273,-184.0361587238984,-180.98272413999487,"[0.15577681385955336, 0.6560124673973265]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY2_NULL,2,40,3,0.03460182996325917,-276.1091265327775,-275.4424598661108,-271.0424881704357,"[-0.09536356580993999, 1.9975752142719287, -1.27767880654724]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY3_NULL,3,40,4,0.01909035991242293,-297.89804968331487,-296.7551925404577,-291.14253186685914,"[-0.174619069563365, 2.772237576317446, -3.0596773715566115, 1.1314276603234124]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY4_NULL,4,40,5,0.018980222544944334,-296.1294885899549,-294.364782707602,-287.68509131938526,"[-0.16492191488958272, 2.629482342202322, -2.493443744403838, 0.3118538292208428, 0.39027325290598847]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY5_NULL,5,40,6,0.010938757546951113,-316.1729004920119,-313.6274459465573,-306.03962376732824,"[-0.04322143051644149, 0.21284465759053472, 11.695429831786434, -33.923970785864476, 36.428867531880236, -13.7289882967521]"
F574-1,RESPONSE_FAMILY_DOMINANT_ZONE,POLY6_NULL,6,40,7,0.002219736999365577,-377.96984051936425,-374.46984051936425,-366.1476843405667,"[0.14535243795164993, -4.50147123353222, 49.140345806119804, -165.1736716558186, 261.97181642961317, -200.06394982888122, 59.15395604194627]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY1_NULL,1,40,2,0.10742871970246898,-232.79228711973388,-232.46796279540956,-229.41452821150602,"[0.41900720103960776, 0.1861495762867035]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY2_NULL,2,40,3,0.0961840075794124,-235.21486522489167,-234.548198558225,-230.14822686254985,"[0.37236077634670345, 0.4353293606178702, -0.23731408031539705]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY3_NULL,3,40,4,0.05132915103315568,-258.335035841991,-257.1921786991338,-251.57951802553524,"[0.23758628934624793, 1.7526476224267054, -3.267613946705511, 1.9239999151683282]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY4_NULL,4,40,5,0.018266794317934383,-297.66199358506174,-295.8972877027088,-289.2175963144921,"[0.06957290477119614, 4.2260319146594325, -13.07820595627174, 16.123976908931255, -6.761893806553774]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY5_NULL,5,40,6,0.005751677835408598,-341.88572493556194,-339.3402703901074,-331.7524482108783,"[-0.08225170264949473, 7.24085202514709, -30.779205024130434, 58.83408327113852, -51.721003514143575, 17.12727988860565]"
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,POLY6_NULL,6,40,7,0.0018962265562072387,-384.2707537892528,-380.7707537892528,-372.44859761045524,"[-0.20764816068876116, 10.37574298128721, -55.67904863927829, 146.11153980053547, -201.70088756308468, 141.03492613262245, -39.33576071238668]"
