galaxy,zone,best_comparator,within_2_count,within_10_count,within_2_comparators,within_10_comparators,overflex_within_2,overflex_winner
UGC06787,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06818,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY,True,True
UGC06917,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06930,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06973,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC06983,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC07089,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,3,5,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,True,True
UGC07125,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,4,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_LOCKED_N3_258993|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY,True,True
UGC07151,RESPONSE_FAMILY_DOMINANT_ZONE,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,4,9,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY,CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|SN_RRF_LOCKED_N3_258993|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|OVERFLEX_POLY5_NULL|BARYONIC_MISMATCH_PROXY|NFW_LIKE_DIAGNOSTIC|NUISANCE_GRADIENT_PROXY,False,False
UGC07323,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,2,4,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|SN_RRF_LOCKED_N3_258993|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,True
UGC07399,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,True,True
UGC07524,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC07577,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC07603,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC07608,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC08286,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC08490,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,4,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|NFW_LIKE_DIAGNOSTIC,True,True
UGC08550,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC08699,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC08837,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY,True,True
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC09133,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC11455,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC11557,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC11820,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,2,5,OVERFLEX_POLY5_NULL|NFW_LIKE_DIAGNOSTIC,OVERFLEX_POLY5_NULL|NFW_LIKE_DIAGNOSTIC|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|NUISANCE_GRADIENT_PROXY,True,True
UGC11914,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC12506,HALO_COMPARATOR_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGC12632,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,2,5,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,True,True
UGC12732,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGCA442,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
UGCA444,NUISANCE_SENSITIVE_ZONE,NUISANCE_GRADIENT_PROXY,2,3,NUISANCE_GRADIENT_PROXY|OVERFLEX_POLY5_NULL,NUISANCE_GRADIENT_PROXY|OVERFLEX_POLY5_NULL|EINASTO_LIKE_SURROGATE_DIAGNOSTIC,True,False
