galaxy,zone,best_comparator,within_2_count,within_10_count,within_2_comparators,within_10_comparators,overflex_within_2,overflex_winner
NGC3726,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,2,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|NUISANCE_GRADIENT_PROXY,True,True
NGC3741,NUISANCE_SENSITIVE_ZONE,OVERFLEX_POLY5_NULL,1,4,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|SN_RRF_SATURATING_FAMILY|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,True,True
NGC3769,MIXED_THREE_WAY_COMPETITIVE_ZONE,BARYONIC_MISMATCH_PROXY,1,2,BARYONIC_MISMATCH_PROXY,BARYONIC_MISMATCH_PROXY|OVERFLEX_POLY5_NULL,False,False
NGC3877,PATHOLOGY_ARCHIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC3893,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC3917,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,7,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|NFW_LIKE_DIAGNOSTIC|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|NUISANCE_GRADIENT_PROXY|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,True,True
NGC3953,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC3972,MIXED_THREE_WAY_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC3992,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,OVERFLEX_POLY5_NULL,1,7,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL|NUISANCE_GRADIENT_PROXY|NFW_LIKE_DIAGNOSTIC|EINASTO_LIKE_SURROGATE_DIAGNOSTIC|SN_RRF_SATURATING_FAMILY|CORED_ISOTHERMAL_LIKE_DIAGNOSTIC|BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,True,True
NGC4010,UNRESOLVED_TRIANGULAR_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4013,RESPONSE_FAMILY_DOMINANT_ZONE,OVERFLEX_POLY5_NULL,1,1,OVERFLEX_POLY5_NULL,OVERFLEX_POLY5_NULL,True,True
NGC4088,MIXED_THREE_WAY_COMPETITIVE_ZONE,BARYONIC_MISMATCH_PROXY,1,2,BARYONIC_MISMATCH_PROXY,BARYONIC_MISMATCH_PROXY|OVERFLEX_POLY5_NULL,False,False
