comparator,aic,rss,galaxy,zone,rotmod_points,Rlast_kpc,delta_aic_vs_best,params_json,comparator_family
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-14.088714297503074,0.10528620823834049,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,28.386392423755815,"{""amplitude"": 0.845613216248784, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-14.878120466024711,0.02995835360514457,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,27.596986255234178,"{""amplitude"": 0.6650336120634637, ""extra"": 1.4, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,-17.834957800512147,0.05151163119353998,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,24.640148920746743,"{""gas_coef"": 2.4825059074607534, ""stellar_coef"": 1.3902183237118715}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,-7.484244482841914,0.13258187667642438,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,34.99086223841697,"{""intercept"": -0.04485050251749487, ""slope"": 0.8613017847346043}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-42.47510672125889,0.008641638963552372,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,0.0,"{""coef"": [-0.06422586315913396, 3.2491202454864347, -27.00993233391626, 90.98187533469518, -115.61254805729155, 49.10727536477571], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-1.5367609614106046,0.019180390396581287,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,37.00300284011476,"{""amplitude"": 0.8554988735722404, ""scale"": 0.4}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-5.696922575434735,0.011612747348633405,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,32.842841226090634,"{""amplitude"": 0.8595582878612267, ""n"": 2.5, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,14.666890903516652,0.07345090952394921,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,53.20665470504202,"{""amplitude"": 0.8843220227678988, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,0.9301685819439802,0.023382112542362547,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,39.46993238346935,"{""amplitude"": 0.8344456087240313, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,3.3523594276234605,0.028843098954194558,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,41.89212322914883,"{""amplitude"": 0.8771418461946191, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-2.93254956579789,0.014615104814421494,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,35.607214235727476,"{""amplitude"": 0.8697888948438336, ""extra"": 1.0, ""scale"": 0.15}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,15.075786841497287,0.07604769151442813,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,53.61555064302266,"{""gas_coef"": 6.3125759823697996, ""stellar_coef"": -1.123144793199576}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,19.694141317562718,0.11252084156188046,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,58.233905119088085,"{""intercept"": 0.03133270559713398, ""slope"": 0.9473072765426518}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-38.53976380152537,0.00044485075023355735,DDO154,RESPONSE_FAMILY_DOMINANT_ZONE,12,5.92,0.0,"{""coef"": [0.03536064816684577, -1.336747477639933, 14.58359010041988, -31.31639521195183, 29.43111997225403, -10.630298289484665], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-72.11711154217947,0.008276793216163529,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,3.358285864367815,"{""amplitude"": 0.7558753403279463, ""scale"": 0.5}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-75.47539740654729,0.007594405348391407,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,0.0,"{""amplitude"": 0.7534963559647571, ""n"": 3.0, ""scale"": 0.5}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,38.44125270554362,0.2801240961897248,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,113.9166501120909,"{""amplitude"": 0.6993973520631408, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-23.154906239084017,0.04046840155834997,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,52.320491167463274,"{""amplitude"": 0.7726035598320117, ""scale"": 0.65}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-21.808403669971025,0.03836071820747571,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,53.66699373657626,"{""amplitude"": 0.8144238592496421, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-47.18449494515652,0.0168064048566275,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,28.290902461390765,"{""amplitude"": 0.7801963123109394, ""extra"": 1.0, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,40.750478150760436,0.2702557700561803,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,116.22587555730772,"{""gas_coef"": 3.526193937603282, ""stellar_coef"": -2.3426327316555606}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,-1.9664213205287826,0.07280305260995974,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,73.5089760860185,"{""intercept"": -0.0739559568216943, ""slope"": 0.9139234427352443}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-67.36374703235036,0.007932028519952243,DDO161,RESPONSE_FAMILY_DOMINANT_ZONE,31,13.37,8.111650374196927,"{""coef"": [0.0832432585776901, -1.8724021947364988, 11.389667535556569, -17.957612354594815, 12.40491752152709, -3.293949391484868], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,2.997273452309739,0.03495118082796962,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,6.718366185846274,"{""amplitude"": 0.761982607607581, ""scale"": 0.5}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-0.22881552482244327,0.024555793057179556,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,3.492277208714092,"{""amplitude"": 0.7576328617230808, ""n"": 6.0, ""scale"": 0.5}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,22.089384538862184,0.17925566092004225,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,25.81047727239872,"{""amplitude"": 0.6563899554373388, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,11.789377279378257,0.08347410173502384,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,15.510470012914793,"{""amplitude"": 0.8271620932342912, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,11.856169891116522,0.08342905533269326,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,15.577262624653057,"{""amplitude"": 0.8253355259489574, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,3.519503340434891,0.03650376212943853,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,7.240596073971426,"{""amplitude"": 0.7860158126932988, ""extra"": 1.4, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,28.860049901475033,0.43077286227634914,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,32.58114263501157,"{""gas_coef"": 2.7215703663098996, ""stellar_coef"": -0.10259847073798288}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,13.667832883856827,0.11822038846065427,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,17.38892561739336,"{""intercept"": -0.14388239418398344, ""slope"": 1.0375881301838703}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-3.721092733536535,0.007285019010048563,DDO168,RESPONSE_FAMILY_DOMINANT_ZONE,10,4.12,0.0,"{""coef"": [0.03146620978081077, 0.24437591693415028, -6.51463372984064, 31.680764590190233, -41.752728619161005, 16.95844997349331], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,1.8445447433448527,0.015276265760546182,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,14.279941112978515,"{""amplitude"": 0.68373947917894, ""scale"": 0.3}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,1.529879971972739,0.011438298816591424,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,13.965276341606401,"{""amplitude"": 0.694603278373505, ""n"": 2.5, ""scale"": 0.3}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,3.9243023696922634,0.019811648439962443,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,16.359698739325925,"{""amplitude"": 0.7582160799255249, ""scale"": 1.6}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-0.1288050227363744,0.011936866611921044,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,12.306591346897287,"{""amplitude"": 0.7307970682099953, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-1.6271015535628175,0.009898117418977352,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,10.808294816070845,"{""amplitude"": 0.7374275149743885, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,1.1913614074057746,0.010964386718493441,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,13.626757777039437,"{""amplitude"": 0.728368417799677, ""extra"": 0.8, ""scale"": 0.1}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,13.37410212223185,0.06455354528278302,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,25.80949849186551,"{""gas_coef"": 3.3746146778850776, ""stellar_coef"": 0.6873254850693344}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,9.544344312063462,0.039995834554821225,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,21.979740681697123,"{""intercept"": 0.11478745879689481, ""slope"": 0.6995458040820182}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-12.435396369633661,0.000942996910452712,DDO170,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,12.33,0.0,"{""coef"": [-0.09811577874180628, 0.18341861868954557, 10.743812897548532, -28.273765910892, 27.076522285248686, -8.851015449648003], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-5.593394928797512,0.02152244388929131,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,10.323766496312395,"{""amplitude"": 0.4129665026718876, ""scale"": 0.4}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-3.5933949287975118,0.02152244388929131,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,12.323766496312395,"{""amplitude"": 0.4129665026718876, ""n"": 3.258993, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,12.514936174112805,0.06706788104166146,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,28.43209759922271,"{""amplitude"": 0.4110325497250325, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,1.3703865239801325,0.03511671681362617,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,17.28754794909004,"{""amplitude"": 0.4596322986593685, ""scale"": 0.65}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,0.9703519307030506,0.0340623007432447,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,16.887513355812956,"{""amplitude"": 0.4620296454151354, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-1.2578554809966134,0.025955170432153687,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,14.659305944113292,"{""amplitude"": 0.4105605207427435, ""extra"": 1.4, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,14.291974855923462,0.0813100996474711,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,30.209136281033366,"{""gas_coef"": 3.7501193358131584, ""stellar_coef"": 0.4529713546449452}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,5.38520271820113,0.04585137822758116,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,21.30236414331104,"{""intercept"": -0.040132333712599874, ""slope"": 0.5345996395904076}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-15.917161425109907,0.006358849714264219,ESO079-G014,RESPONSE_FAMILY_DOMINANT_ZONE,15,16.67,0.0,"{""coef"": [0.10531957936992468, -3.3757491281821492, 22.62682169369515, -48.943254712184014, 44.972835490755266, -14.921567808201397], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-20.29998557845091,0.010533557780264855,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,0.0,"{""amplitude"": 0.6941510457967993, ""scale"": 0.4}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-18.29998557845091,0.010533557780264855,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,2.0,"{""amplitude"": 0.6941510457967993, ""n"": 3.258993, ""scale"": 0.4}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,15.890061827317773,0.08509477038167718,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,36.19004740576868,"{""amplitude"": 0.7044914862079223, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-5.997554320312997,0.021726467354820582,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,14.302431258137915,"{""amplitude"": 0.7194692016231597, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-5.2334902291970575,0.029035067956723424,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,15.066495349253854,"{""amplitude"": 0.7816795456424569, ""scale"": 0.4}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-13.729940628311294,0.015340447421883393,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,6.570044950139618,"{""amplitude"": 0.6874486225098791, ""extra"": 1.4, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,3.537268935024242,0.039307835506639716,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,23.837254513475152,"{""gas_coef"": 7.2154830931662035, ""stellar_coef"": 0.28399430825039423}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,5.980810484303496,0.0601398028713155,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,26.28079606275441,"{""intercept"": -0.04208657218107092, ""slope"": 0.8739901131391218}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-15.686532069077575,0.008736649421347229,ESO116-G012,RESPONSE_FAMILY_DOMINANT_ZONE,15,9.86,4.613453509373336,"{""coef"": [0.037694539965138746, -0.9693344971610286, 7.608219330555049, -8.789910477779603, 1.0680890723158203, 1.7886530399090597], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,32.56129843097824,0.2216262290217539,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,43.040566435027245,"{""amplitude"": 0.5869604029350192, ""scale"": 0.65}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,19.254463016134768,0.12269105637220136,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,29.73373102018377,"{""amplitude"": 0.5767163663871382, ""n"": 1.5, ""scale"": 1.25}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,26.429228741837086,0.18544127238280322,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,36.90849674588609,"{""amplitude"": 0.5018285697545789, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,20.938427306835617,0.1387239404661318,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,31.41769531088462,"{""amplitude"": 0.5736043196368744, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,21.192551198203912,0.13992238035021304,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,31.671819202252916,"{""amplitude"": 0.5733902032849658, ""scale"": 0.5}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,17.56690062372033,0.1172749492456694,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,28.046168627769333,"{""amplitude"": 0.5744796095746624, ""extra"": 0.4, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,17.370681904995354,0.12428872930853997,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,27.84994990904436,"{""gas_coef"": 12.232131516955265, ""stellar_coef"": 0.19604924337537735}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,11.647780423540654,0.10209058824862692,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,22.127048427589656,"{""intercept"": -0.04190853467784674, ""slope"": 0.6354610525534049}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-10.479268004049004,0.04461248147561502,ESO563-G021,RESPONSE_FAMILY_DOMINANT_ZONE,30,42.41,0.0,"{""coef"": [-0.14289610425120916, 1.65549439347649, 1.710439685492767, -18.368902749832923, 30.05204964020489, -14.356898799906427], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-20.57149429410031,0.1424165415900837,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,0.0,"{""amplitude"": 0.7710956172933202, ""scale"": 0.15}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-19.67838932148044,0.15627993803210544,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,0.8931049726198701,"{""amplitude"": 0.7742059286171864, ""n"": 4.0, ""scale"": 0.15}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,-2.561495441469755,0.15298007582864612,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,18.009998852630556,"{""amplitude"": 0.8838996158000062, ""scale"": 1.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-10.13385208003154,0.16861209939361363,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,10.437642214068772,"{""amplitude"": 0.7808366048137806, ""scale"": 0.2}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,-10.95888696269841,0.10668763064314532,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,9.612607331401902,"{""amplitude"": 0.8289796278666849, ""scale"": 0.1}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-17.533208715852762,0.17227588414532374,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,3.0382855782475495,"{""amplitude"": 0.7689199014591602, ""extra"": 1.4, ""scale"": 0.075}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,-0.9818929588388521,0.20417430493018018,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,19.58960133526146,"{""gas_coef"": 7.708698260940413, ""stellar_coef"": 3.686851481179804}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,7.651062363786467,0.4343372910314614,F563-1,NUISANCE_SENSITIVE_ZONE,17,20.1,28.222556657886777,"{""intercept"": 0.06190479781227957, ""slope"": 0.9765141689451976}",NUISANCE_PROXY
