comparator,aic,rss,galaxy,zone,rotmod_points,Rlast_kpc,delta_aic_vs_best,params_json,comparator_family
SN_RRF_LOCKED_N3_258993,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,30.062349792747,0.6218030296595927,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,51.9728842228267,"{""amplitude"": 0.3096459837090219, ""n"": 12.0, ""scale"": 2.0}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,28.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,50.26878834504261,"{""amplitude"": 0.0, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,30.358253914962905,0.7234242060787085,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,52.26878834504261,"{""amplitude"": 0.0, ""extra"": 0.4, ""scale"": 0.05}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,16.203111959620777,0.6188979197347653,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,38.11364638970048,"{""gas_coef"": 1.5818342708644688, ""stellar_coef"": -1.0249969998005815}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,18.1735442992615,0.5037610960053716,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,40.0840787293412,"{""intercept"": -0.18712282326941215, ""slope"": -0.0947313957667952}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-21.9105344300797,0.0017531888926713736,CamB,PATHOLOGY_ARCHIVE_ZONE,9,1.79,0.0,"{""coef"": [-0.08709885666600417, 2.001756796263452, -19.79103060375061, 48.68963728068268, -47.48251834101263, 16.99773290759565], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-12.078334490011152,0.057444941424264345,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,50.21501838857355,"{""amplitude"": 1.0198757409432175, ""scale"": 0.65}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-18.227107829005188,0.021787342044801317,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,44.06624504957951,"{""amplitude"": 0.8297303310251262, ""n"": 4.0, ""scale"": 0.5}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,33.106057987277666,0.48964301176784786,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,95.39941086586236,"{""amplitude"": 0.6568895913334163, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,2.548581428233394,0.09186202947457402,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,64.84193430681809,"{""amplitude"": 1.0468094182963745, ""scale"": 1.25}",HALO_OR_CORED_COMPARATOR
CORED_ISOTHERMAL_LIKE_DIAGNOSTIC,1.3457725314446978,0.08980144549199207,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,63.63912541002939,"{""amplitude"": 1.0487777394169355, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
EINASTO_LIKE_SURROGATE_DIAGNOSTIC,-18.626527306658353,0.016939376525547473,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,43.666825571926346,"{""amplitude"": 0.8514099951603603, ""extra"": 1.4, ""scale"": 0.25}",HALO_OR_CORED_COMPARATOR
BARYONIC_MISMATCH_PROXY,30.685489634416964,0.8045055448669676,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,92.97884251300167,"{""gas_coef"": 8.151587038760306, ""stellar_coef"": -6.439549442156906}",BARYONIC_SYSTEMATICS_PROXY
NUISANCE_GRADIENT_PROXY,0.9450449080054497,0.07598577768568404,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,63.23839778659015,"{""intercept"": -0.20186326548807837, ""slope"": 1.2173259847737068}",NUISANCE_PROXY
OVERFLEX_POLY5_NULL,-62.2933528785847,0.0013168137029546969,D631-7,RESPONSE_FAMILY_DOMINANT_ZONE,16,7.19,0.0,"{""coef"": [0.02494713578276848, -1.2654659837102558, 7.258303995888417, -8.706039973309245, 5.813976282469829, -2.293252970055908], ""degree"": 5}",OVERFLEX_NULL
SN_RRF_LOCKED_N3_258993,-17.06277160633726,0.062492155154108386,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,25.41233511492163,"{""amplitude"": 0.7913306617811466, ""scale"": 0.5}",SN_RRF_FAMILY
SN_RRF_SATURATING_FAMILY,-15.472472005198679,0.05732239073211115,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,27.00263471606021,"{""amplitude"": 0.779164055385618, ""n"": 3.0, ""scale"": 0.5}",SN_RRF_FAMILY
NFW_LIKE_DIAGNOSTIC,1.826452709137158,0.25314667535122576,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,44.30155943039605,"{""amplitude"": 0.55997151005331, ""scale"": 2.0}",HALO_OR_CORED_COMPARATOR
BURKERT_LIKE_CORED_HALO_DIAGNOSTIC,-14.166227533663502,0.10751316317888804,DDO064,MIXED_THREE_WAY_COMPETITIVE_ZONE,14,2.98,28.308879187595387,"{""amplitude"": 0.8482108176834332, ""scale"": 0.8}",HALO_OR_CORED_COMPARATOR
