class,count,median_delta_aic_rrf_minus_best_destructive_null,rrf_beats_best_destructive_null_fraction,rrf_strongly_beats_best_destructive_null_fraction,median_delta_aic_rrf_minus_best_neighbor_null,rrf_beats_best_neighbor_null_fraction,median_curve_level_rrf_A_kms2,median_curve_level_rrf_rc_kpc
ALL,143,-85.02147209054226,0.916083916083916,0.8391608391608392,4.082307127320703,0.1258741258741259,9115.252084392569,3.100115933864687
BARYONIC-ONLY-IMPROVEMENT-NFW-DOMINANT,16,-256.27370498656273,1.0,1.0,51.288614167747994,0.0,7757.892565499933,2.856335902191847
CORE-PATHOLOGY-ARCHIVE,7,0.49438231542414357,0.42857142857142855,0.2857142857142857,6.375204545960068,0.0,5720.558392435284,1.5866781783475674
NUISANCE-SENSITIVE-DIAGNOSTIC-SIGNAL,18,-67.7665097746435,1.0,0.8333333333333334,5.570390751884257,0.05555555555555555,5341.5063795416045,2.2733949201479664
ROBUST-DIAGNOSTIC-CANDIDATE,77,-82.37528686547031,0.935064935064935,0.8831168831168831,2.008500580590699,0.16883116883116883,9505.245613351262,3.5273064460853814
WEAK-OR-REGIME-DEPENDENT-SIGNAL,25,-133.99774689420067,0.88,0.76,13.27394252897314,0.16,16880.63807413292,3.522105352311774
