galaxy,stage8_class,n_points,rotmod_file,rrf_aic_v2,curve_level_rrf_A_kms2,curve_level_rrf_rc_kpc,best_destructive_null,best_destructive_null_aic_v2,delta_aic_rrf_minus_best_destructive_null,best_neighbor_null,best_neighbor_null_aic_v2,delta_aic_rrf_minus_best_neighbor_null
F574-1,ROBUST-DIAGNOSTIC-CANDIDATE,14,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/F574-1_rotmod.dat,7.140848262214439,7681.125502618162,2.7939947863041024,shuffled_radius_rrf_nfixed,203.96668405750034,-196.8258357952859,saturating_n2,5.167030537316909,1.97381772489753
F579-V1,ROBUST-DIAGNOSTIC-CANDIDATE,14,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/F579-V1_rotmod.dat,6.010555254528066,8909.822042453947,0.9491516329392115,shuffled_radius_rrf_nfixed,6.4094235050548445,-0.3988682505267782,saturating_n2,4.173814652140359,1.8367406023877075
F583-1,ROBUST-DIAGNOSTIC-CANDIDATE,25,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/F583-1_rotmod.dat,9.09839156237219,5211.592706147845,3.028560424814862,outer_step_median,143.1645883324877,-134.0661967701155,saturating_n2,8.889189506488133,0.20920205588405594
F583-4,CORE-PATHOLOGY-ARCHIVE,12,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/F583-4_rotmod.dat,11.880428158236445,3002.66327849137,1.5866781783475674,shuffled_radius_rrf_nfixed,36.1447034423136,-24.264275284077154,saturating_n1,5.505223612276376,6.375204545960068
IC2574,ROBUST-DIAGNOSTIC-CANDIDATE,34,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/IC2574_rotmod.dat,150.55443491822479,2952.619310909403,5.142523956180357,outer_step_median,1209.5177467448518,-1058.963311826627,saturating_n2,50.36732415765427,100.18711076057052
IC4202,ROBUST-DIAGNOSTIC-CANDIDATE,32,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/IC4202_rotmod.dat,2636.9867453439592,32940.54028876165,5.598431246324753,shuffled_radius_rrf_nfixed,3958.422637624919,-1321.4358922809597,saturating_n6,2565.8201102965213,71.16663504743792
KK98-251,ROBUST-DIAGNOSTIC-CANDIDATE,15,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/KK98-251_rotmod.dat,8.187189714841246,928.8724264707294,1.7162920468038985,outer_step_median,52.38607944324053,-44.19888972839929,saturating_n2,7.416581604263529,0.7706081105777169
NGC0024,ROBUST-DIAGNOSTIC-CANDIDATE,29,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0024_rotmod.dat,23.787192191384374,9505.245613351262,1.1021845378274882,outer_step_median,216.39186242256173,-192.60467023117735,saturating_n2,12.301038353679505,11.486153837704869
NGC0055,ROBUST-DIAGNOSTIC-CANDIDATE,21,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0055_rotmod.dat,13.680137323754371,5231.557438387967,4.7281922327022095,shuffled_radius_rrf_nfixed,319.5842900637339,-305.9041527399795,saturating_n2,11.411690080681893,2.268447243072478
NGC0100,ROBUST-DIAGNOSTIC-CANDIDATE,21,/home/kei/a10_projects/A10_TVC_Galaxy_Rotation_Curve_Residual_Diagnostic/data/Rotmod_LTG/NGC0100_rotmod.dat,11.83345438572703,6036.111464948796,3.275360309783798,shuffled_radius_rrf_nfixed,212.81396964614893,-200.9805152604219,saturating_n2,5.413268579948255,6.420185805778775
