noise_level,background_mix,n,recovery_rate,median_rss_correct_margin,rss_margin_positive_fraction
HIGH,0.4,858,0.40326340326340326,-0.00265060696672062,0.40326340326340326
LOW,0.1,858,0.7762237762237763,0.003326638096459649,0.7762237762237763
MEDIUM,0.25,858,0.5198135198135199,0.0003608914053835968,0.5198135198135199
