galaxy,source_zone,injection_type,noise_level,background_mix,predicted_type,recovered,failure_boundary_score_proxy,rss_RESPONSE_FAMILY_LIKE,rss_HALO_LIKE,rss_RAR_LIKE,rss_NUISANCE_GRADIENT,rss_PATHOLOGY_OUTLIER,rss_MIXED_RESPONSE_HALO,corr_RESPONSE_FAMILY_LIKE,corr_HALO_LIKE,corr_RAR_LIKE,corr_NUISANCE_GRADIENT,corr_PATHOLOGY_OUTLIER,corr_MIXED_RESPONSE_HALO,rss_winner,rss_margin_best_vs_second,corr_winner,corr_margin_best_vs_second,rss_true_minus_best_wrong,rss_correct_margin,corr_true_minus_best_wrong,rss_margin_positive,corr_margin_positive
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,LOW,0.1,HALO_LIKE,False,0.0,0.0507372629463411,0.0281071557433641,0.0298084932281595,0.0490367651813654,0.9944863581474888,0.0345206894838038,0.9743011531624391,0.985846257920897,0.984982998214609,0.9751734383270674,0.0742539012612204,0.9825880675624938,HALO_LIKE,0.001701337484795399,HALO_LIKE,0.0008632597062879777,0.022630107202977,-0.022630107202977,-0.011545104758457825,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.3247348838558914,0.2636584381665405,0.2571431708004388,0.212136672840273,0.987078857555168,0.2950819202642745,0.8217451649654585,0.8581034680232096,0.8618914254124826,0.8876166555218119,0.1136712032347343,0.8395939969626542,NUISANCE_GRADIENT,0.045006497960165814,NUISANCE_GRADIENT,0.025725230109329256,0.1125982110156184,-0.1125982110156184,-0.06587149055635344,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,RESPONSE_FAMILY_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.411693583660695,0.373756455773487,0.3702798991766359,0.3569670947984217,0.9999536128076134,0.3919770131678964,0.767011353461802,0.7913555106439286,0.793549053822991,0.8018933253254941,0.0068108143703086,0.7797582874404759,NUISANCE_GRADIENT,0.013312804378214194,NUISANCE_GRADIENT,0.008344271502503053,0.05472648886227327,-0.05472648886227327,-0.03488197186369202,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,LOW,0.1,RAR_LIKE,False,0.0,0.0860318708846851,0.0289294849520304,0.0247102038703614,0.030658920437839,0.99019643560659,0.0561388785110359,0.9560168037829226,0.9854291019895698,0.9875676159785914,0.9845512071813032,0.099012950634804,0.971525152267796,RAR_LIKE,0.004219281081669,RAR_LIKE,0.002138513989021651,0.004219281081669,-0.004219281081669,-0.002138513989021651,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.2622494908433026,0.187117300422936,0.1783872783976282,0.1427308270228685,0.9869083709529574,0.2265033618038416,0.8589240415523933,0.9016000774052008,0.9064285529496364,0.9258883156067648,0.1144186569010598,0.8794865764729775,NUISANCE_GRADIENT,0.0356564513747597,NUISANCE_GRADIENT,0.019459762657128343,0.044386473400067517,-0.044386473400067517,-0.024288238201564005,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,HALO_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.6399306846806931,0.5026841116787574,0.4811460642449198,0.4035440001029517,0.8692287353284522,0.5837760142710899,0.6000577599859092,0.7052062735974792,0.7203151641851504,0.7723056389131497,0.3616230975360227,0.6451542340626079,NUISANCE_GRADIENT,0.07760206414196807,NUISANCE_GRADIENT,0.051990474727999336,0.09914011157580566,-0.09914011157580566,-0.06709936531567051,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,LOW,0.1,RAR_LIKE,True,0.0,0.1111858268733442,0.0435440929431979,0.0374223399705065,0.0462033147962622,0.990101050674974,0.07725394048263,0.9427694167327748,0.9779856374491408,0.9811104219350104,0.9766251508146502,0.0994934637301661,0.9605967205426896,RAR_LIKE,0.006121752972691401,RAR_LIKE,0.003124784485869614,-0.006121752972691401,0.006121752972691401,0.003124784485869614,True,True
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,MEDIUM,0.25,NUISANCE_GRADIENT,False,0.0,0.3790264908562066,0.2791053599223078,0.2657043826974644,0.2129047622915792,0.9513403071013,0.3344529444742494,0.7880187238535601,0.8490551454868478,0.8569105071724442,0.8871838804376582,0.2205894215475888,0.8158106738243563,NUISANCE_GRADIENT,0.05279962040588518,NUISANCE_GRADIENT,0.030273373265213954,0.05279962040588518,-0.05279962040588518,-0.030273373265213954,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,RAR_LIKE,HIGH,0.4,NUISANCE_GRADIENT,False,0.0,0.608974329428035,0.5272236102017964,0.5152614316243374,0.442341600955617,0.912134834275338,0.5735688181425351,0.625320454304803,0.6875873688471913,0.6962316915909981,0.7467652904657412,0.2964205892387742,0.6530169843560464,NUISANCE_GRADIENT,0.07291983066872038,NUISANCE_GRADIENT,0.05053359887474318,0.07291983066872038,-0.07291983066872038,-0.05053359887474318,False,False
CamB,PATHOLOGY_ARCHIVE_ZONE,NUISANCE_GRADIENT,LOW,0.1,NUISANCE_GRADIENT,True,0.0,0.1960337361146532,0.0935860991553927,0.0812625613322225,0.0361488171916056,0.9492157166361288,0.1489204621586172,0.8966416585712191,0.952057719282086,0.9585079231116338,0.9817592285323292,0.2253536850461319,0.9225397215520764,NUISANCE_GRADIENT,0.0451137441406169,NUISANCE_GRADIENT,0.023251305420695423,-0.0451137441406169,0.0451137441406169,0.023251305420695423,True,True
