n_grid,available_count,median_delta_aic_n_minus_best,within_2_fraction,within_10_fraction,best_fraction
2.0,143,2.4277425926098886,0.4755244755244755,0.7272727272727273,0.0979020979020979
2.25,143,2.627540813652967,0.46153846153846156,0.7412587412587412,0.11188811188811189
1.75,143,2.6841821589603008,0.42657342657342656,0.6853146853146853,0.04895104895104895
2.5,143,2.8386296913807314,0.43356643356643354,0.7062937062937062,0.0979020979020979
2.75,143,4.043999798720279,0.4195804195804196,0.6993006993006993,0.06293706293706294
3.0,143,4.346079059248304,0.36363636363636365,0.6713286713286714,0.03496503496503497
1.5,143,5.301428763245804,0.35664335664335667,0.6433566433566433,0.11888111888111888
3.25,143,6.219434040555452,0.32867132867132864,0.6363636363636364,0.013986013986013986
3.258993,143,6.292381145415192,0.32167832167832167,0.6363636363636364,0.013986013986013986
3.5,143,6.972387210100847,0.32867132867132864,0.5804195804195804,0.013986013986013986
3.75,143,7.477757584601886,0.27972027972027974,0.5524475524475524,0.02097902097902098
1.25,143,7.98724140321859,0.26573426573426573,0.5594405594405595,0.06293706293706294
4.0,143,8.613897449298534,0.26573426573426573,0.5524475524475524,0.02097902097902098
4.25,143,10.089898760822496,0.25874125874125875,0.4965034965034965,0.02097902097902098
4.5,143,10.447392891658726,0.22377622377622378,0.4965034965034965,0.02097902097902098
4.75,143,11.21327873390727,0.1958041958041958,0.42657342657342656,0.02097902097902098
1.0,143,11.215685709383568,0.13986013986013987,0.46153846153846156,0.04195804195804196
5.0,143,12.619460672860772,0.20279720279720279,0.40559440559440557,0.0
5.25,143,13.795018783251557,0.20279720279720279,0.38461538461538464,0.013986013986013986
5.5,143,15.22170894667166,0.18181818181818182,0.3706293706293706,0.013986013986013986
5.75,143,16.43526859534684,0.16783216783216784,0.3706293706293706,0.006993006993006993
6.0,143,17.128546446656532,0.15384615384615385,0.36363636363636365,0.0
6.25,143,18.17423362007094,0.13986013986013987,0.34965034965034963,0.0
6.5,143,19.186164128041913,0.14685314685314685,0.34265734265734266,0.0
6.75,143,19.80070193669622,0.14685314685314685,0.34265734265734266,0.0
7.0,143,20.77160474416251,0.13986013986013987,0.3356643356643357,0.006993006993006993
7.25,143,21.57564162608954,0.13986013986013987,0.3146853146853147,0.0
7.5,143,21.57565903542843,0.13986013986013987,0.3146853146853147,0.0
7.75,143,22.151116555966656,0.14685314685314685,0.3146853146853147,0.0
8.0,143,23.2224393803224,0.13986013986013987,0.3076923076923077,0.006993006993006993
8.25,143,24.890637510680772,0.13986013986013987,0.3006993006993007,0.0
8.5,143,25.377289800608086,0.14685314685314685,0.3006993006993007,0.0
8.75,143,25.789808676448974,0.15384615384615385,0.3006993006993007,0.0
9.0,143,26.174741139267763,0.15384615384615385,0.3006993006993007,0.0
9.25,143,26.664380438477032,0.15384615384615385,0.2937062937062937,0.006993006993006993
9.5,143,27.231152305613023,0.15384615384615385,0.27972027972027974,0.0
9.75,143,27.41470473376974,0.15384615384615385,0.2727272727272727,0.0
10.0,143,28.372840059157248,0.15384615384615385,0.26573426573426573,0.0
0.75,143,29.86146565193092,0.0979020979020979,0.26573426573426573,0.02097902097902098
12.0,143,32.43186125754721,0.13286713286713286,0.2517482517482518,0.06293706293706294
0.5,143,64.75270086473309,0.08391608391608392,0.13286713286713286,0.03496503496503497
