holdout_name,holdout_reason,sample_count,zone_count,missing_zone_count,zone_js_divergence,response_family_zone_fraction,nuisance_pathology_zone_fraction,phase5_overflex_winner_fraction,existing_aicc_overflex_fraction,existing_bic_overflex_fraction,poly_aicc_high_flex_fraction,snrrf_existing_aicc_winner_fraction,median_failure_boundary_score,high_failure_score_ge4_fraction,median_n_points,median_v_max_kms,median_v_outer_kms,median_gas_fraction_proxy,median_outer_baryon_fraction_proxy,median_kernel_curve_rmse,median_phase4b_shape_pc1,median_phase4b_shape_pc2,response_family_shift_abs,nuisance_pathology_shift_abs,aicc_overflex_shift_abs,high_failure_shift_abs,pass_min_sample_40,pass_zone_count_ge5,pass_missing_zones_le2,pass_js_le_0p25,pass_response_shift_le_0p20,pass_aicc_overflex_shift_le_0p25,pass_high_failure_shift_le_0p25,stability_pass_count,holdout_stability_label
leaveout_zone__HALO_COMPARATOR_DOMINANT_ZONE,leave out zone HALO_COMPARATOR_DOMINANT_ZONE,137,6,1,0.014766341660495914,0.5620437956204379,0.30656934306569344,0.8759124087591241,0.4744525547445255,0.6934306569343066,0.8978102189781022,0.10948905109489052,3.0,0.19708029197080293,17.0,112.5,108.0,0.0851627896794965,0.3577840003188776,0.1800280614590548,1.8938497101849008,0.0984749421663014,0.0235822571588995,0.012863049359399747,0.005921086213056981,0.008269103159614127,1,1,1,1,1,1,1,7,STABLE
leaveout_zone__MIXED_THREE_WAY_COMPETITIVE_ZONE,leave out zone MIXED_THREE_WAY_COMPETITIVE_ZONE,127,6,1,0.04043603781232258,0.6062992125984252,0.33070866141732286,0.8582677165354331,0.47244094488188976,0.6692913385826772,0.8976377952755905,0.11811023622047244,2.0,0.1889763779527559,19.0,114.0,110.5011312159292,0.0826615559827784,0.365938415666359,0.1870722994126873,1.788220247169351,0.1131568394316524,0.0678376741368868,0.03700236771102916,0.003909476350421215,0.0001651891415671014,1,1,1,1,1,1,1,7,STABLE
leaveout_zone__NUISANCE_SENSITIVE_ZONE,leave out zone NUISANCE_SENSITIVE_ZONE,113,6,1,0.07886808913005296,0.6814159292035398,0.10619469026548672,0.8672566371681416,0.504424778761062,0.6991150442477876,0.9292035398230089,0.12389380530973451,2.0,0.17699115044247787,18.0,121.0,115.0,0.06005394060121,0.3984446591440208,0.1882306130737185,0.7995183863085662,0.0941397021145855,0.14295439074200134,0.18751160344080697,0.03589331022959341,0.011820038368710928,1,1,1,1,1,1,1,7,STABLE
leaveout_zone__PATHOLOGY_ARCHIVE_ZONE,leave out zone PATHOLOGY_ARCHIVE_ZONE,131,6,1,0.030002181652892812,0.5877862595419847,0.22900763358778625,0.8702290076335878,0.4732824427480916,0.6793893129770993,0.8931297709923665,0.12213740458015267,2.0,0.13740458015267176,17.0,113.0,110.5011312159292,0.0973905972681566,0.3506495960981557,0.1715881453876663,2.1076946569764043,0.0792335307571126,0.04932472108044628,0.06469866011850745,0.004750974216623072,0.05140660865851704,1,1,1,1,1,1,1,7,STABLE
leaveout_zone__RESPONSE_FAMILY_DOMINANT_ZONE,leave out zone RESPONSE_FAMILY_DOMINANT_ZONE,89,6,1,0.1530504980516668,0.25842696629213485,0.47191011235955055,0.8426966292134831,0.4044943820224719,0.6966292134831461,0.8876404494382022,0.07865168539325842,3.0,0.23595505617977527,13.0,112.5,108.0,0.1186750773341874,0.3678812856352852,0.1836102908566549,2.001038427986344,0.301207285675672,0.2800345721694036,0.17820381865325685,0.06403708650899664,0.04714386736858647,1,1,1,1,0,1,1,6,STABLE
leaveout_zone__RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,leave out zone RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,120,6,1,0.05926354697428188,0.45,0.35,0.8416666666666667,0.475,0.6416666666666667,0.9083333333333333,0.10833333333333334,2.5,0.20833333333333334,17.0,114.0,110.50565587121545,0.07796682690122225,0.3564872643538502,0.18005833573143032,2.0343369610836124,0.0002055199390320478,0.08846153846153842,0.05629370629370628,0.0064685314685314355,0.01952214452214454,1,1,1,1,1,1,1,7,STABLE
leaveout_zone__UNRESOLVED_TRIANGULAR_ZONE,leave out zone UNRESOLVED_TRIANGULAR_ZONE,141,6,1,0.004871806536905891,0.5460992907801419,0.2978723404255319,0.8581560283687943,0.46099290780141844,0.6737588652482269,0.900709219858156,0.11347517730496454,3.0,0.19148936170212766,17.0,114.0,110.5011312159292,0.0826615559827784,0.365938415666359,0.1800886100038058,1.788220247169351,0.0984749421663014,0.007637752318603419,0.004166046719238203,0.007538560730050103,0.002678172890938857,1,1,1,1,1,1,1,7,STABLE
