proxy,target,association_type,score,n,abs_score
best_n,kernel_curve_rmse,spearman_rank_correlation,0.21405749859868928,143,0.21405749859868928
roughness_rms_diff,median_err_fraction,spearman_rank_correlation,-0.21061508913621588,143,0.21061508913621588
median_err_fraction,roughness_rms_diff,spearman_rank_correlation,-0.21061508913621588,143,0.21061508913621588
kernel_curve_corr,DCRRA_zone,eta_squared_numeric_vs_zone,0.20870432138085127,143,0.20870432138085127
rrf_A_over_vouter2,response_family_strength_axis,spearman_rank_correlation,0.2046277420342171,143,0.2046277420342171
best_n,kernel_curve_corr,spearman_rank_correlation,-0.20094723317098656,143,0.20094723317098656
outer_baryon_fraction_proxy,roughness_rms_diff,spearman_rank_correlation,0.19808184772973503,143,0.19808184772973503
kernel_curve_rmse,median_abs_residual_norm,spearman_rank_correlation,-0.19744164286417806,143,0.19744164286417806
rrf_rc_over_rlast,median_err_fraction,spearman_rank_correlation,0.19055533668209726,143,0.19055533668209726
rrf_A_over_vouter2,rar_competitiveness_axis,spearman_rank_correlation,-0.18093995206671262,143,0.18093995206671262
rrf_rc_over_rlast,kernel_curve_corr,spearman_rank_correlation,0.17698381430775798,143,0.17698381430775798
median_err_fraction,halo_competitiveness_axis,spearman_rank_correlation,0.17686069798745857,143,0.17686069798745857
outer_baryon_fraction_proxy,median_err_fraction,spearman_rank_correlation,-0.167507961522046,143,0.167507961522046
gas_fraction_proxy,DCRRA_zone,eta_squared_numeric_vs_zone,0.1641577342233688,143,0.1641577342233688
median_err_fraction,DCRRA_zone,eta_squared_numeric_vs_zone,0.155772815370716,143,0.155772815370716
n_points,DCRRA_zone,eta_squared_numeric_vs_zone,0.15527920950926483,143,0.15527920950926483
rrf_rc_over_rlast,rar_competitiveness_axis,spearman_rank_correlation,0.14956580977707737,143,0.14956580977707737
roughness_rms_diff,rar_competitiveness_axis,spearman_rank_correlation,-0.14660281033520467,143,0.14660281033520467
roughness_rms_diff,response_family_strength_axis,spearman_rank_correlation,0.14132536906727236,143,0.14132536906727236
rrf_rc_over_rlast,response_family_strength_axis,spearman_rank_correlation,-0.12867925805932162,143,0.12867925805932162
best_n,halo_competitiveness_axis,spearman_rank_correlation,0.1250229487709938,143,0.1250229487709938
kernel_curve_corr,rar_competitiveness_axis,spearman_rank_correlation,0.12338717620407762,143,0.12338717620407762
rrf_rc_over_rlast,kernel_curve_rmse,spearman_rank_correlation,-0.11578269148691682,143,0.11578269148691682
roughness_rms_diff,DCRRA_zone,eta_squared_numeric_vs_zone,0.11525012554073112,143,0.11525012554073112
rrf_A_over_vouter2,kernel_curve_rmse,spearman_rank_correlation,0.10864604878689384,143,0.10864604878689384
kernel_curve_corr,response_family_strength_axis,spearman_rank_correlation,-0.10824808374386397,143,0.10824808374386397
gas_fraction_proxy,halo_competitiveness_axis,spearman_rank_correlation,0.10698507610255718,143,0.10698507610255718
rrf_A_over_vouter2,DCRRA_zone,eta_squared_numeric_vs_zone,0.10159628442692757,143,0.10159628442692757
outer_baryon_fraction_proxy,halo_competitiveness_axis,spearman_rank_correlation,0.09873928888013395,143,0.09873928888013395
v_outer_kms,response_family_strength_axis,spearman_rank_correlation,0.09515464786862946,143,0.09515464786862946
v_outer_kms,rar_competitiveness_axis,spearman_rank_correlation,-0.09193293711677741,143,0.09193293711677741
v_max_kms,response_family_strength_axis,spearman_rank_correlation,0.08887101392188525,143,0.08887101392188525
v_max_kms,rar_competitiveness_axis,spearman_rank_correlation,-0.0875125170431619,143,0.0875125170431619
rrf_A_over_vouter2,kernel_curve_corr,spearman_rank_correlation,-0.07389851932105453,143,0.07389851932105453
rrf_A_over_vouter2,median_abs_residual_norm,spearman_rank_correlation,0.07041843133392428,143,0.07041843133392428
v_max_kms,DCRRA_zone,eta_squared_numeric_vs_zone,0.06412706836528416,143,0.06412706836528416
