zone,galaxy_count,median_n_points,median_gas_fraction_proxy,median_outer_baryon_fraction_proxy,median_v_outer_kms,median_v_max_kms,median_best_n,median_rrf_rc_over_rlast,median_rrf_A_over_vouter2,median_median_err_fraction,median_roughness_rms_diff,median_negative_vbar2_proxy_fraction,median_negative_residual_v2_fraction,median_kernel_curve_corr,median_kernel_curve_rmse,rate_response_family_zone_flag,rate_nuisance_or_pathology_zone_flag,rate_phase5_overflex_winner_flag,rate_existing_aicc_overflex_flag,rate_existing_bic_overflex_flag,rate_poly_aicc_high_flex_flag,rate_snrrf_existing_aicc_winner_flag,median_phase6_failure_boundary_score
HALO_COMPARATOR_DOMINANT_ZONE,6,27.5,0.04407167936119365,0.47105064891750004,172.0,205.5,3.0,0.36534184252200114,0.6746504457071028,0.029628857555537402,0.05621931674811465,0.0,0.26136363636363635,0.9326320041593146,0.29831726839109224,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,2.0
MIXED_THREE_WAY_COMPETITIVE_ZONE,16,11.5,0.08445484377384704,0.3703012451456368,111.00223209837264,114.5,2.5,0.3648947243047549,0.7242594940484784,0.08108521071274169,0.026676227471001,0.0,0.09545454545454546,0.9735982874027218,0.12200064220411949,0.0,0.0,0.875,0.4375,0.75,0.9375,0.0625,3.0
NUISANCE_SENSITIVE_ZONE,30,16.5,0.24896642522459364,0.23611247533330243,84.25,85.30000000000001,1.625,0.2745083465827024,0.7594049554495623,0.044469785880832155,0.028260685733174952,0.0,0.0,0.9773095058177955,0.17437193017427238,0.0,1.0,0.8333333333333334,0.3333333333333333,0.6,0.8,0.06666666666666667,3.0
PATHOLOGY_ARCHIVE_ZONE,12,12.5,0.026330046859975302,1.0226136808165698,174.25036656812685,175.5,12.0,0.9433666200151438,2.197586136460498,0.03517868437697655,0.0375622276122511,0.0,0.8441295546558705,0.6828633194060039,1.0035710476292592,0.0,1.0,0.75,0.4166666666666667,0.6666666666666666,1.0,0.0,4.5
RESPONSE_FAMILY_DOMINANT_ZONE,54,25.5,0.04247788729350555,0.36363084783317945,111.25509026325085,118.0,2.25,0.33351514925701,0.7804864422483493,0.0388941270757952,0.03180397343169945,0.0,0.13594470046082946,0.97335167898898,0.1726921915142085,1.0,0.0,0.8888888888888888,0.5740740740740741,0.6481481481481481,0.9259259259259259,0.16666666666666666,2.0
RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,23,12.0,0.0851627896794965,0.3932738768861455,110.5011312159292,114.0,2.5,0.1891341960815337,0.6790746966138612,0.0411061285500747,0.030937135202683,0.0,0.0769230769230769,0.9346298359446022,0.1926673245693124,1.0,0.0,0.9565217391304348,0.43478260869565216,0.8695652173913043,0.8695652173913043,0.13043478260869565,3.0
UNRESOLVED_TRIANGULAR_ZONE,2,18.5,0.12887566741758194,0.44065956908802817,89.5,92.95,3.25,0.5207869356217485,0.79870933178665,0.1029534365606875,0.02570166136121315,0.04,0.16666666666666666,0.9696292226756345,0.17009508559794909,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.5
