galaxy,zone,n_points,gas_fraction_proxy,outer_baryon_fraction_proxy,v_max_kms,median_err_fraction,roughness_rms_diff,negative_residual_v2_fraction,phase5_overflex_winner_flag,existing_aicc_overflex_flag,poly_aicc_high_flex_flag,nuisance_or_pathology_zone_flag,phase6_failure_boundary_score
UGC01230,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,0.1742072675174039,0.2875201904043736,113.0,0.103883495145631,0.056979561846697,0.0909090909090909,0,0,1,0,3
F579-V1,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,14,0.0399889921165492,0.4489963450292398,114.0,0.1023635477582846,0.0282867039124266,0.0,1,1,1,0,3
F568-3,RESPONSE_FAMILY_DOMINANT_ZONE,18,0.0279303255585602,0.3352873613416019,120.0,0.1004950495049505,0.0315422480229923,0.0555555555555555,1,1,1,0,3
NGC0024,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,29,0.0319716696243104,0.3737699973796838,110.0,0.0892523364485981,0.0354819037319297,0.0344827586206896,1,1,0,0,3
UGC06818,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,0.0802031060064331,0.3452807805201363,74.4,0.0886957205789805,0.0345733833783069,0.375,1,0,1,0,3
UGC04483,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,8,0.5293546153731834,0.3474602144662249,24.3,0.0840290128946198,0.0227581217958749,0.0,1,0,1,0,3
NGC4214,RESPONSE_FAMILY_DOMINANT_ZONE,14,0.0973905972681566,0.1873241197112461,80.6,0.0828080800897612,0.027565648060402,0.0,1,1,1,0,3
NGC1705,NUISANCE_SENSITIVE_ZONE,14,0.2206113878290372,0.1191345493667172,73.2,0.0766677935324344,0.0262789727378247,0.0,1,0,1,1,3
UGC08837,RESPONSE_FAMILY_DOMINANT_ZONE,8,0.2465833619672545,0.5195778610768297,48.0,0.0759571298518579,0.0195268367942352,0.25,1,0,1,0,3
NGC2976,RESPONSE_FAMILY_DOMINANT_ZONE,27,0.0361016628216354,0.943591607334997,88.7,0.0622568093385214,0.0223867627371855,0.8888888888888888,1,1,1,0,3
UGC11820,NUISANCE_SENSITIVE_ZONE,10,0.1542337505775448,0.244646233372781,84.45,0.0618266702214035,0.0215257827636523,0.0,1,0,1,1,3
NGC2683,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,11,0.0238521332796055,0.4750915046826222,212.0,0.059171597633136,0.06409211047964,0.1818181818181818,1,0,1,0,3
NGC0247,NUISANCE_SENSITIVE_ZONE,26,0.1711993075392346,0.3700970975056689,108.0,0.0528836242055915,0.0209716445963115,0.0,1,1,1,1,3
UGC06983,NUISANCE_SENSITIVE_ZONE,17,0.2357561581700059,0.3051034722222222,113.0,0.0527777777777777,0.0363186096503959,0.0588235294117647,1,1,1,1,3
UGCA442,NUISANCE_SENSITIVE_ZONE,8,0.7104378330876915,0.1553056621505208,57.8,0.0457004810532534,0.0247914368794637,0.0,1,0,1,1,3
UGC00731,NUISANCE_SENSITIVE_ZONE,12,0.6613776176831884,0.2641669886343868,74.0,0.044955095694394,0.0215931206607487,0.0,1,1,1,1,3
UGC06917,MIXED_THREE_WAY_COMPETITIVE_ZONE,11,0.095637589728028,0.3929983471074379,111.0,0.0445454545454545,0.0195402081560575,0.0,1,1,1,0,3
UGC09037,RESPONSE_FAMILY_WITH_NFW_COMPETITIVE_ZONE,22,0.1505548505957789,0.6697970183682188,160.0,0.0442729492729492,0.039668354904689,0.5,1,1,1,0,3
